original_line,processed
İnsan şeyi elinde tutamaz hiç zaman,"[{'input': 'İnsan', 'root': 'insan', 'type': 'Adjective'}, {'input': 'İnsan', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'İnsan', 'root': 'insan', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'Şe', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şe', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şey', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şey', 'type': 'Noun'}, {'input': 'elinde', 'root': 'el', 'type': 'Noun'}, {'input': 'elinde', 'root': 'el', 'type': 'Noun'}, {'input': 'tutamaz', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'tutamaz', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Adverb'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Noun'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}]"
gücünü güçsüzlüğünü yüreğini,"[{'input': 'gücünü', 'root': 'güç', 'type': 'Noun'}, {'input': 'gücünü', 'root': 'güç', 'type': 'Noun'}, {'input': 'güçsüzlüğünü', 'root': 'Güç', 'type': 'Noun'}, {'input': 'güçsüzlüğünü', 'root': 'Güç', 'type': 'Noun'}, {'input': 'güçsüzlüğünü', 'root': 'güç', 'type': 'Noun'}, {'input': 'güçsüzlüğünü', 'root': 'güç', 'type': 'Noun'}, {'input': 'güçsüzlüğünü', 'root': 'güç', 'type': 'Adjective'}, {'input': 'güçsüzlüğünü', 'root': 'güç', 'type': 'Adjective'}, {'input': 'yüreğini', 'root': 'yürek', 'type': 'Noun'}, {'input': 'yüreğini', 'root': 'yürek', 'type': 'Noun'}]"
açtım derken kollarını haç olur gölgesi,"[{'input': 'açtım', 'root': 'açmak', 'type': 'Verb'}, {'input': 'açtım', 'root': 'aç', 'type': 'Adjective'}, {'input': 'derken', 'root': 'derken', 'type': 'Adverb'}, {'input': 'derken', 'root': 'demek', 'type': 'Verb'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'haç', 'root': 'haç', 'type': 'Noun'}, {'input': 'olur', 'root': 'olur', 'type': 'Adjective'}, {'input': 'olur', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olur', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olur', 'root': 'olur', 'type': 'Noun'}, {'input': 'olur', 'root': 'Olur', 'type': 'Noun'}, {'input': 'gölgesi', 'root': 'gölge', 'type': 'Noun'}]"
sarıldım derken mutluluğuna parçalar şeyi,"[{'input': 'sarıldım', 'root': 'sarmak', 'type': 'Verb'}, {'input': 'derken', 'root': 'derken', 'type': 'Adverb'}, {'input': 'derken', 'root': 'demek', 'type': 'Verb'}, {'input': 'mutluluğuna', 'root': 'mutlu', 'type': 'Adjective'}, {'input': 'mutluluğuna', 'root': 'mutlu', 'type': 'Adjective'}, {'input': 'mutluluğuna', 'root': 'Mut', 'type': 'Noun'}, {'input': 'mutluluğuna', 'root': 'Mut', 'type': 'Noun'}, {'input': 'parçalar', 'root': 'parçalamak', 'type': 'Verb'}, {'input': 'parçalar', 'root': 'parçalamak', 'type': 'Verb'}, {'input': 'parçalar', 'root': 'parça', 'type': 'Noun'}, {'input': 'parçalar', 'root': 'parça', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'Şe', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şe', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şey', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şey', 'type': 'Noun'}]"
Hayatı garip acı dolu ayrılıktır an,"[{'input': 'Hayatı', 'root': 'hayat', 'type': 'Noun'}, {'input': 'Hayatı', 'root': 'hayat', 'type': 'Noun'}, {'input': 'garip', 'root': 'garip', 'type': 'Interjection'}, {'input': 'garip', 'root': 'garip', 'type': 'Adjective'}, {'input': 'garip', 'root': 'Garip', 'type': 'Noun'}, {'input': 'acı', 'root': 'acı', 'type': 'Adjective'}, {'input': 'acı', 'root': 'acımak', 'type': 'Verb'}, {'input': 'acı', 'root': 'Ac', 'type': 'Noun'}, {'input': 'acı', 'root': 'Ac', 'type': 'Noun'}, {'input': 'acı', 'root': 'acı', 'type': 'Noun'}, {'input': 'acı', 'root': 'A', 'type': 'Noun'}, {'input': 'dolu', 'root': 'dolu', 'type': 'Adjective'}, {'input': 'dolu', 'root': 'dolu', 'type': 'Noun'}, {'input': 'dolu', 'root': 'do', 'type': 'Noun'}, {'input': 'ayrılıktır', 'root': 'ayrılık', 'type': 'Noun'}, {'input': 'ayrılıktır', 'root': 'ayrı', 'type': 'Adjective'}, {'input': 'an', 'root': 'anmak', 'type': 'Verb'}, {'input': 'an', 'root': 'an', 'type': 'Noun'}]"
Mutlu aşk yoktur,"[{'input': 'Mutlu', 'root': 'mutlu', 'type': 'Adjective'}, {'input': 'Mutlu', 'root': 'Mut', 'type': 'Noun'}, {'input': 'aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': 'yoktur', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yoktur', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yoktur', 'root': 'yok', 'type': 'Noun'}]"
Hayatı silahsız askerlere benzer,"[{'input': 'Hayatı', 'root': 'hayat', 'type': 'Noun'}, {'input': 'Hayatı', 'root': 'hayat', 'type': 'Noun'}, {'input': 'silahsız', 'root': 'silâh', 'type': 'Noun'}, {'input': 'askerlere', 'root': 'asker', 'type': 'Noun'}, {'input': 'askerlere', 'root': 'asker', 'type': 'Adjective'}, {'input': 'benzer', 'root': 'benzer', 'type': 'Adjective'}, {'input': 'benzer', 'root': 'benzemek', 'type': 'Verb'}, {'input': 'benzer', 'root': 'benzemek', 'type': 'Verb'}, {'input': 'benzer', 'root': 'benzer', 'type': 'Noun'}]"
kader giyinip kuşanan,"[{'input': 'kader', 'root': 'Kader', 'type': 'Noun'}, {'input': 'kader', 'root': 'kader', 'type': 'Noun'}, {'input': 'giyinip', 'root': 'giyinmek', 'type': 'Verb'}, {'input': 'kuşanan', 'root': 'kuşanmak', 'type': 'Verb'}]"
yarar var onlara sabah erken kalkmaktan,"[{'input': 'yarar', 'root': 'yarar', 'type': 'Adjective'}, {'input': 'yarar', 'root': 'yarmak', 'type': 'Verb'}, {'input': 'yarar', 'root': 'yarmak', 'type': 'Verb'}, {'input': 'yarar', 'root': 'yaramak', 'type': 'Verb'}, {'input': 'yarar', 'root': 'yaramak', 'type': 'Verb'}, {'input': 'yarar', 'root': 'yarar', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': 'onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'onlara', 'root': 'on', 'type': 'Numeral'}, {'input': 'sabah', 'root': 'sabah', 'type': 'Adverb'}, {'input': 'sabah', 'root': 'sabah', 'type': 'Noun'}, {'input': 'sabah', 'root': 'Sabah', 'type': 'Noun'}, {'input': 'erken', 'root': 'erken', 'type': 'Adverb'}, {'input': 'erken', 'root': 'Erke', 'type': 'Noun'}, {'input': 'erken', 'root': 'erke', 'type': 'Noun'}, {'input': 'erken', 'root': 'erken', 'type': 'Noun'}, {'input': 'erken', 'root': 'er', 'type': 'Adjective'}, {'input': 'erken', 'root': 'Er', 'type': 'Noun'}, {'input': 'erken', 'root': 'er', 'type': 'Noun'}, {'input': 'kalkmaktan', 'root': 'kalkmak', 'type': 'Verb'}]"
akşamları aylak kararsız insan,"[{'input': 'akşamları', 'root': 'akşamları', 'type': 'Adverb'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'aylak', 'root': 'aylak', 'type': 'Adjective'}, {'input': 'kararsız', 'root': 'karar', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Adjective'}, {'input': 'insan', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Noun'}]"
