original_line,processed
Şimdi tarlalarda güneş vardır.,"[{'input': 'Şimdi', 'root': 'şimdi', 'type': 'Adverb'}, {'input': 'Şimdi', 'root': 'şimdi', 'type': 'Noun'}, {'input': 'tarlalarda', 'root': 'tarla', 'type': 'Noun'}, {'input': 'güneş', 'root': 'Güneş', 'type': 'Noun'}, {'input': 'güneş', 'root': 'güneş', 'type': 'Noun'}, {'input': 'vardır', 'root': 'varmak', 'type': 'Verb'}, {'input': 'vardır', 'root': 'var', 'type': 'Adjective'}, {'input': 'vardır', 'root': 'var', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Karlar donmuştur otların uçlarında..,"[{'input': 'Karlar', 'root': 'karlamak', 'type': 'Verb'}, {'input': 'Karlar', 'root': 'karlamak', 'type': 'Verb'}, {'input': 'Karlar', 'root': 'kar', 'type': 'Noun'}, {'input': 'Karlar', 'root': 'kâr', 'type': 'Noun'}, {'input': 'Karlar', 'root': 'kar', 'type': 'Noun'}, {'input': 'Karlar', 'root': 'kâr', 'type': 'Noun'}, {'input': 'donmuştur', 'root': 'donmak', 'type': 'Verb'}, {'input': 'donmuştur', 'root': 'donmak', 'type': 'Verb'}, {'input': 'otların', 'root': 'ot', 'type': 'Noun'}, {'input': 'otların', 'root': 'ot', 'type': 'Noun'}, {'input': 'otların', 'root': 'ot', 'type': 'Adjective'}, {'input': 'otların', 'root': 'ot', 'type': 'Adjective'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Noun'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Noun'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Noun'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Noun'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Adjective'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Adjective'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Adjective'}, {'input': 'uçlarında', 'root': 'uç', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Artık akşamları dinlenemem,"[{'input': 'Artık', 'root': 'artık', 'type': 'Adjective'}, {'input': 'Artık', 'root': 'artık', 'type': 'Adverb'}, {'input': 'Artık', 'root': 'artık', 'type': 'Noun'}, {'input': 'akşamları', 'root': 'akşamları', 'type': 'Adverb'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'akşamları', 'root': 'akşam', 'type': 'Noun'}, {'input': 'dinlenemem', 'root': 'dinlenmek', 'type': 'Verb'}, {'input': 'dinlenemem', 'root': 'dinlemek', 'type': 'Verb'}, {'input': 'dinlenemem', 'root': 'din', 'type': 'Noun'}]"
Başım avuçlarında.,"[{'input': 'Başım', 'root': 'baş', 'type': 'Noun'}, {'input': 'Başım', 'root': 'baş', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': 'avuçlarında', 'root': 'avuç', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
İçi korku dolu kış gecesi....................,"[{'input': 'İçi', 'root': 'iç', 'type': 'Noun'}, {'input': 'İçi', 'root': 'iç', 'type': 'Noun'}, {'input': 'İçi', 'root': 'iç', 'type': 'Adjective'}, {'input': 'İçi', 'root': 'iç', 'type': 'Adjective'}, {'input': 'korku', 'root': 'korku', 'type': 'Noun'}, {'input': 'dolu', 'root': 'dolu', 'type': 'Adjective'}, {'input': 'dolu', 'root': 'dolu', 'type': 'Noun'}, {'input': 'dolu', 'root': 'do', 'type': 'Noun'}, {'input': 'kış', 'root': 'kış', 'type': 'Adverb'}, {'input': 'kış', 'root': 'kış', 'type': 'Noun'}, {'input': 'gecesi', 'root': 'gece', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Yerin seni çektiği ağırsın,","[{'input': 'Yerin', 'root': 'yermek', 'type': 'Verb'}, {'input': 'Yerin', 'root': 'yerinmek', 'type': 'Verb'}, {'input': 'Yerin', 'root': 'yer', 'type': 'Noun'}, {'input': 'Yerin', 'root': 'yer', 'type': 'Noun'}, {'input': 'seni', 'root': 'se', 'type': 'Noun'}, {'input': 'seni', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'çektiği', 'root': 'çekmek', 'type': 'Verb'}, {'input': 'çektiği', 'root': 'çekmek', 'type': 'Verb'}, {'input': 'çektiği', 'root': 'çekmek', 'type': 'Verb'}, {'input': 'ağırsın', 'root': 'ağır', 'type': 'Adjective'}, {'input': 'ağırsın', 'root': 'ağır', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Kanatların çırpındığı hafif..,"[{'input': 'Kanatların', 'root': 'kanat', 'type': 'Noun'}, {'input': 'Kanatların', 'root': 'kanat', 'type': 'Noun'}, {'input': 'çırpındığı', 'root': 'çırpınmak', 'type': 'Verb'}, {'input': 'çırpındığı', 'root': 'çırpınmak', 'type': 'Verb'}, {'input': 'çırpındığı', 'root': 'çırpınmak', 'type': 'Verb'}, {'input': 'hafif', 'root': 'hafif', 'type': 'Adjective'}, {'input': 'hafif', 'root': 'hafif', 'type': 'Adverb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Kalbinin attığı canlısın,","[{'input': 'Kalbinin', 'root': 'kalp', 'type': 'Noun'}, {'input': 'Kalbinin', 'root': 'kalp', 'type': 'Noun'}, {'input': 'Kalbinin', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'Kalbinin', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'attığı', 'root': 'atmak', 'type': 'Verb'}, {'input': 'attığı', 'root': 'atmak', 'type': 'Verb'}, {'input': 'attığı', 'root': 'atmak', 'type': 'Verb'}, {'input': 'canlısın', 'root': 'canlı', 'type': 'Adjective'}, {'input': 'canlısın', 'root': 'canlı', 'type': 'Noun'}, {'input': 'canlısın', 'root': 'Can', 'type': 'Noun'}, {'input': 'canlısın', 'root': 'can', 'type': 'Noun'}, {'input': 'canlısın', 'root': 'can', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Gözlerinin uzağı gördüğü genç...,"[{'input': 'Gözlerinin', 'root': 'göz', 'type': 'Noun'}, {'input': 'Gözlerinin', 'root': 'göz', 'type': 'Noun'}, {'input': 'Gözlerinin', 'root': 'göz', 'type': 'Noun'}, {'input': 'Gözlerinin', 'root': 'göz', 'type': 'Noun'}, {'input': 'uzağı', 'root': 'uzak', 'type': 'Noun'}, {'input': 'uzağı', 'root': 'uzak', 'type': 'Noun'}, {'input': 'uzağı', 'root': 'uzak', 'type': 'Adjective'}, {'input': 'uzağı', 'root': 'uzak', 'type': 'Adjective'}, {'input': 'gördüğü', 'root': 'görmek', 'type': 'Verb'}, {'input': 'gördüğü', 'root': 'görmek', 'type': 'Verb'}, {'input': 'gördüğü', 'root': 'görmek', 'type': 'Verb'}, {'input': 'genç', 'root': 'genç', 'type': 'Adjective'}, {'input': 'genç', 'root': 'genç', 'type': 'Noun'}, {'input': 'genç', 'root': 'Genç', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
"Sevdiklerin iyisin,","[{'input': 'Sevdiklerin', 'root': 'sevmek', 'type': 'Verb'}, {'input': 'Sevdiklerin', 'root': 'sevmek', 'type': 'Verb'}, {'input': 'iyisin', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyisin', 'root': 'iyi', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
