original_line,processed
Sana mektubu gece yarısında yazıyorum,"[{'input': 'Sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sana', 'root': 'san', 'type': 'Noun'}, {'input': 'Sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'Sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'mektubu', 'root': 'mektup', 'type': 'Noun'}, {'input': 'mektubu', 'root': 'mektup', 'type': 'Noun'}, {'input': 'gece', 'root': 'gece', 'type': 'Adverb'}, {'input': 'gece', 'root': 'Ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'gece', 'type': 'Noun'}, {'input': 'yarısında', 'root': 'yarı', 'type': 'Noun'}, {'input': 'yarısında', 'root': 'yarı', 'type': 'Adjective'}, {'input': 'yazıyorum', 'root': 'yazmak', 'type': 'Verb'}]"
azatlığın zirvesinde sohbete dalmış yıldızlar,"[{'input': 'azatlığın', 'root': 'azat', 'type': 'Adjective'}, {'input': 'azatlığın', 'root': 'azat', 'type': 'Adjective'}, {'input': 'azatlığın', 'root': 'azat', 'type': 'Noun'}, {'input': 'azatlığın', 'root': 'azat', 'type': 'Noun'}, {'input': 'zirvesinde', 'root': 'zirve', 'type': 'Noun'}, {'input': 'sohbete', 'root': 'sohbet', 'type': 'Noun'}, {'input': 'sohbete', 'root': 'Sohbet', 'type': 'Noun'}, {'input': 'dalmış', 'root': 'dalmak', 'type': 'Verb'}, {'input': 'dalmış', 'root': 'dalmak', 'type': 'Verb'}, {'input': 'dalmış', 'root': 'dal', 'type': 'Adjective'}, {'input': 'dalmış', 'root': 'dal', 'type': 'Noun'}, {'input': 'yıldızlar', 'root': 'yıldızlamak', 'type': 'Verb'}, {'input': 'yıldızlar', 'root': 'yıldızlamak', 'type': 'Verb'}, {'input': 'yıldızlar', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'yıldızlar', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'yıldızlar', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'yıldızlar', 'root': 'yıldız', 'type': 'Noun'}]"
zühre şarkı tutturmuş babilden kalan,"[{'input': 'zühre', 'root': 'Zühre', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'Şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'Şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'şarkı', 'type': 'Noun'}, {'input': 'tutturmuş', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'tutturmuş', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'babilden', 'root': 'Babil', 'type': 'Noun'}, {'input': 'kalan', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalan', 'root': 'kala', 'type': 'Noun'}, {'input': 'kalan', 'root': 'Kalan', 'type': 'Noun'}]"
"zavallı dünya habersiz, zavallı dünya sağır","[{'input': 'zavallı', 'root': 'zavallı', 'type': 'Adjective'}, {'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}, {'input': 'habersiz', 'root': 'haber', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'zavallı', 'root': 'zavallı', 'type': 'Adjective'}, {'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}, {'input': 'sağır', 'root': 'sağır', 'type': 'Adjective'}]"
Harutla Marut birde dinliyorum,"[{'input': 'Harutla', 'root': 'Harut', 'type': 'Noun'}, {'input': 'Marut', 'root': 'Mârut', 'type': 'Noun'}, {'input': 'birde', 'root': 'Bird', 'type': 'Noun'}, {'input': 'birde', 'root': 'bir', 'type': 'Adjective'}, {'input': 'birde', 'root': 'bir', 'type': 'Numeral'}, {'input': 'dinliyorum', 'root': 'dinlemek', 'type': 'Verb'}]"
Derken kayıp gidiyor yıldızlardan birisi,"[{'input': 'Derken', 'root': 'derken', 'type': 'Adverb'}, {'input': 'Derken', 'root': 'demek', 'type': 'Verb'}, {'input': 'kayıp', 'root': 'kayıp', 'type': 'Adjective'}, {'input': 'kayıp', 'root': 'kaymak', 'type': 'Verb'}, {'input': 'kayıp', 'root': 'kayıp', 'type': 'Noun'}, {'input': 'gidiyor', 'root': 'gitmek', 'type': 'Verb'}, {'input': 'yıldızlardan', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'yıldızlardan', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'birisi', 'root': 'biri', 'type': 'Pronoun'}]"
intikam fişeği saplanıyor karanlığın karnına,"[{'input': 'intikam', 'root': 'intikam', 'type': 'Noun'}, {'input': 'fişeği', 'root': 'fişek', 'type': 'Noun'}, {'input': 'fişeği', 'root': 'fişek', 'type': 'Noun'}, {'input': 'saplanıyor', 'root': 'saplamak', 'type': 'Verb'}, {'input': 'saplanıyor', 'root': 'sap', 'type': 'Noun'}, {'input': 'karanlığın', 'root': 'karanlık', 'type': 'Noun'}, {'input': 'karanlığın', 'root': 'karanlık', 'type': 'Noun'}, {'input': 'karanlığın', 'root': 'karanlık', 'type': 'Adjective'}, {'input': 'karanlığın', 'root': 'karanlık', 'type': 'Adjective'}, {'input': 'karanlığın', 'root': 'karmak', 'type': 'Verb'}, {'input': 'karanlığın', 'root': 'karmak', 'type': 'Verb'}, {'input': 'karnına', 'root': 'karın', 'type': 'Noun'}, {'input': 'karnına', 'root': 'karın', 'type': 'Noun'}]"
Senin namına yıldızları kıskanıyorum,"[{'input': 'Senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'Senin', 'root': 'se', 'type': 'Noun'}, {'input': 'Senin', 'root': 'se', 'type': 'Noun'}, {'input': 'Senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'namına', 'root': 'namına', 'type': 'Adverb'}, {'input': 'namına', 'root': 'nam', 'type': 'Noun'}, {'input': 'namına', 'root': 'nam', 'type': 'Noun'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'yıldızları', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'kıskanıyorum', 'root': 'kıskanmak', 'type': 'Verb'}]"
Kimbilir kaç ışık yılı uzakta öfkeyle kollarını çemriyor yalancı fecir,"[{'input': 'Kimbilir', 'root': 'kimbilir', 'type': 'Noun'}, {'input': 'kaç', 'root': 'kaç', 'type': 'Adjective'}, {'input': 'kaç', 'root': 'kaçmak', 'type': 'Verb'}, {'input': 'ışık', 'root': 'Işık', 'type': 'Noun'}, {'input': 'ışık', 'root': 'ışık', 'type': 'Noun'}, {'input': 'yılı', 'root': 'yıl', 'type': 'Noun'}, {'input': 'yılı', 'root': 'yıl', 'type': 'Noun'}, {'input': 'uzakta', 'root': 'Uzak', 'type': 'Noun'}, {'input': 'uzakta', 'root': 'uzak', 'type': 'Noun'}, {'input': 'uzakta', 'root': 'uzak', 'type': 'Adjective'}, {'input': 'öfkeyle', 'root': 'öfke', 'type': 'Noun'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'kollarını', 'root': 'kol', 'type': 'Noun'}, {'input': 'çemriyor', 'root': 'çemremek', 'type': 'Verb'}, {'input': 'yalancı', 'root': 'yalan', 'type': 'Adjective'}, {'input': 'yalancı', 'root': 'yalan', 'type': 'Noun'}, {'input': 'fecir', 'root': 'fecir', 'type': 'Noun'}]"
imanım biliyorum vakit asılmak vaktidir,"[{'input': 'imanım', 'root': 'iman', 'type': 'Noun'}, {'input': 'imanım', 'root': 'ima', 'type': 'Noun'}, {'input': 'imanım', 'root': 'iman', 'type': 'Noun'}, {'input': 'biliyorum', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'biliyorum', 'root': 'bilemek', 'type': 'Verb'}, {'input': 'vakit', 'root': 'vakit', 'type': 'Noun'}, {'input': 'vakit', 'root': 'Vakit', 'type': 'Noun'}, {'input': 'asılmak', 'root': 'asılmak', 'type': 'Verb'}, {'input': 'asılmak', 'root': 'asmak', 'type': 'Verb'}, {'input': 'vaktidir', 'root': 'vakit', 'type': 'Noun'}]"
