original_line,processed
satırı,"[{'input': 'satırı', 'root': 'satır', 'type': 'Noun'}, {'input': 'satırı', 'root': 'satır', 'type': 'Noun'}]"
mendireğe dizili karabatağa benzeyen,"[{'input': 'mendireğe', 'root': 'mendirek', 'type': 'Noun'}, {'input': 'dizili', 'root': 'dizi', 'type': 'Noun'}, {'input': 'karabatağa', 'root': 'karabatak', 'type': 'Noun'}, {'input': 'benzeyen', 'root': 'benzemek', 'type': 'Verb'}]"
mektup bırakarak,"[{'input': 'mektup', 'root': 'mektup', 'type': 'Noun'}, {'input': 'bırakarak', 'root': 'bırakmak', 'type': 'Verb'}]"
balıkçı koyundan,"[{'input': 'balıkçı', 'root': 'balık', 'type': 'Noun'}, {'input': 'balıkçı', 'root': 'Balık', 'type': 'Noun'}, {'input': 'balıkçı', 'root': 'Ba', 'type': 'Noun'}, {'input': 'koyundan', 'root': 'koy', 'type': 'Noun'}, {'input': 'koyundan', 'root': 'koy', 'type': 'Noun'}, {'input': 'koyundan', 'root': 'koyun', 'type': 'Noun'}, {'input': 'koyundan', 'root': 'koyun', 'type': 'Noun'}, {'input': 'koyundan', 'root': 'koyu', 'type': 'Adjective'}]"
sisler içinde uzaklaşan kayık,"[{'input': 'sisler', 'root': 'sis', 'type': 'Noun'}, {'input': 'sisler', 'root': 'sis', 'type': 'Noun'}, {'input': 'içinde', 'root': 'içinde', 'type': 'Adverb'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'uzaklaşan', 'root': 'uzaklaşmak', 'type': 'Verb'}, {'input': 'uzaklaşan', 'root': 'uzak', 'type': 'Adjective'}, {'input': 'uzaklaşan', 'root': 'Uzak', 'type': 'Noun'}, {'input': 'uzaklaşan', 'root': 'uzak', 'type': 'Noun'}, {'input': 'kayık', 'root': 'kayık', 'type': 'Adjective'}, {'input': 'kayık', 'root': 'kayık', 'type': 'Noun'}]"
sabah usulca ayrıldın,"[{'input': 'sabah', 'root': 'sabah', 'type': 'Adverb'}, {'input': 'sabah', 'root': 'sabah', 'type': 'Noun'}, {'input': 'sabah', 'root': 'Sabah', 'type': 'Noun'}, {'input': 'usulca', 'root': 'usulca', 'type': 'Adverb'}, {'input': 'ayrıldın', 'root': 'ayrılmak', 'type': 'Verb'}, {'input': 'ayrıldın', 'root': 'ayırmak', 'type': 'Verb'}]"
koynumdan,"[{'input': 'koynumdan', 'root': 'koyun', 'type': 'Noun'}]"
Bütün yolcularını,"[{'input': 'Bütün', 'root': 'bütün', 'type': 'Adjective'}, {'input': 'Bütün', 'root': 'bütün', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yolcu', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yolcu', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yolcu', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yolcu', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yol', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yol', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yol', 'type': 'Noun'}, {'input': 'yolcularını', 'root': 'yol', 'type': 'Noun'}]"
boğaz köprüsünün çaldığı,"[{'input': 'boğaz', 'root': 'boğaz', 'type': 'Noun'}, {'input': 'köprüsünün', 'root': 'köprü', 'type': 'Noun'}, {'input': 'çaldığı', 'root': 'çalmak', 'type': 'Verb'}, {'input': 'çaldığı', 'root': 'çalmak', 'type': 'Verb'}, {'input': 'çaldığı', 'root': 'çalmak', 'type': 'Verb'}]"
araba vapurunun,"[{'input': 'araba', 'root': 'araba', 'type': 'Adjective'}, {'input': 'araba', 'root': 'Arab', 'type': 'Noun'}, {'input': 'araba', 'root': 'arap', 'type': 'Noun'}, {'input': 'araba', 'root': 'araba', 'type': 'Noun'}, {'input': 'araba', 'root': 'arap', 'type': 'Adjective'}, {'input': 'vapurunun', 'root': 'vapur', 'type': 'Noun'}, {'input': 'vapurunun', 'root': 'vapur', 'type': 'Noun'}]"
boş seferleri,"[{'input': 'boş', 'root': 'boş', 'type': 'Adjective'}, {'input': 'boş', 'root': 'boş', 'type': 'Adverb'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}, {'input': 'seferleri', 'root': 'sefer', 'type': 'Noun'}]"
yalnızca rüzgar,"[{'input': 'yalnızca', 'root': 'yalnızca', 'type': 'Adverb'}, {'input': 'yalnızca', 'root': 'yalnız', 'type': 'Adjective'}, {'input': 'yalnızca', 'root': 'yalnız', 'type': 'Adjective'}, {'input': 'yalnızca', 'root': 'yalnız', 'type': 'Noun'}, {'input': 'rüzgar', 'root': 'rüzgâr', 'type': 'Noun'}, {'input': 'rüzgar', 'root': 'Rüzgâr', 'type': 'Noun'}]"
gezinir sensiz,"[{'input': 'gezinir', 'root': 'gezinmek', 'type': 'Verb'}, {'input': 'gezinir', 'root': 'gezinmek', 'type': 'Verb'}, {'input': 'sensiz', 'root': 'sen', 'type': 'Pronoun'}]"
yüreğimde,"[{'input': 'yüreğimde', 'root': 'yürek', 'type': 'Noun'}]"
Durgun sudur deniz,"[{'input': 'Durgun', 'root': 'durgun', 'type': 'Adjective'}, {'input': 'Durgun', 'root': 'durgu', 'type': 'Noun'}, {'input': 'sudur', 'root': 'Sudur', 'type': 'Noun'}, {'input': 'sudur', 'root': 'su', 'type': 'Noun'}, {'input': 'deniz', 'root': 'de', 'type': 'Noun'}, {'input': 'deniz', 'root': 'deniz', 'type': 'Noun'}, {'input': 'deniz', 'root': 'de', 'type': 'Noun'}]"
çocukların,"[{'input': 'çocukların', 'root': 'Çocuk', 'type': 'Noun'}, {'input': 'çocukların', 'root': 'Çocuk', 'type': 'Noun'}, {'input': 'çocukların', 'root': 'çocuk', 'type': 'Noun'}, {'input': 'çocukların', 'root': 'çocuk', 'type': 'Noun'}, {'input': 'çocukların', 'root': 'çocuk', 'type': 'Adjective'}, {'input': 'çocukların', 'root': 'çocuk', 'type': 'Adjective'}]"
acemi oltalarını denedikleri,"[{'input': 'acemi', 'root': 'acemi', 'type': 'Adjective'}, {'input': 'acemi', 'root': 'Acem', 'type': 'Noun'}, {'input': 'acemi', 'root': 'Acem', 'type': 'Noun'}, {'input': 'acemi', 'root': 'acem', 'type': 'Noun'}, {'input': 'acemi', 'root': 'acem', 'type': 'Noun'}, {'input': 'acemi', 'root': 'acemi', 'type': 'Noun'}, {'input': 'oltalarını', 'root': 'olta', 'type': 'Noun'}, {'input': 'oltalarını', 'root': 'olta', 'type': 'Noun'}, {'input': 'oltalarını', 'root': 'olta', 'type': 'Noun'}, {'input': 'oltalarını', 'root': 'olta', 'type': 'Noun'}, {'input': 'denedikleri', 'root': 'denemek', 'type': 'Verb'}, {'input': 'denedikleri', 'root': 'denemek', 'type': 'Verb'}, {'input': 'denedikleri', 'root': 'denemek', 'type': 'Verb'}, {'input': 'denedikleri', 'root': 'denemek', 'type': 'Verb'}, {'input': 'denedikleri', 'root': 'denemek', 'type': 'Verb'}]"
kuytu iskelenin,"[{'input': 'kuytu', 'root': 'kuytu', 'type': 'Adjective'}, {'input': 'kuytu', 'root': 'Kuyt', 'type': 'Noun'}, {'input': 'kuytu', 'root': 'Kuyt', 'type': 'Noun'}, {'input': 'iskelenin', 'root': 'iskele', 'type': 'Noun'}, {'input': 'iskelenin', 'root': 'iskele', 'type': 'Noun'}]"
tahtaları altına yazdığım,"[{'input': 'tahtaları', 'root': 'tahta', 'type': 'Noun'}, {'input': 'tahtaları', 'root': 'tahta', 'type': 'Noun'}, {'input': 'tahtaları', 'root': 'tahta', 'type': 'Noun'}, {'input': 'tahtaları', 'root': 'tahta', 'type': 'Noun'}, {'input': 'tahtaları', 'root': 'tahta', 'type': 'Adjective'}, {'input': 'tahtaları', 'root': 'tahta', 'type': 'Adjective'}, {'input': 'tahtaları', 'root': 'tahta', 'type': 'Adjective'}, {'input': 'tahtaları', 'root': 'tahta', 'type': 'Adjective'}, {'input': 'altına', 'root': 'alt', 'type': 'Noun'}, {'input': 'altına', 'root': 'alt', 'type': 'Noun'}, {'input': 'altına', 'root': 'altın', 'type': 'Noun'}, {'input': 'altına', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altına', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altına', 'root': 'altı', 'type': 'Numeral'}, {'input': 'altına', 'root': 'altın', 'type': 'Adjective'}, {'input': 'yazdığım', 'root': 'yazmak', 'type': 'Verb'}, {'input': 'yazdığım', 'root': 'yazmak', 'type': 'Verb'}]"
