original_line,processed
tanrı karar verince yaratmaya,"[{'input': 'tanrı', 'root': 'tanrı', 'type': 'Noun'}, {'input': 'tanrı', 'root': 'Tanrı', 'type': 'Noun'}, {'input': 'karar', 'root': 'karmak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karmak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karamak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karamak', 'type': 'Verb'}, {'input': 'karar', 'root': 'kararmak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karar', 'type': 'Noun'}, {'input': 'verince', 'root': 'vermek', 'type': 'Verb'}, {'input': 'verince', 'root': 'veri', 'type': 'Noun'}, {'input': 'yaratmaya', 'root': 'yaratmak', 'type': 'Verb'}, {'input': 'yaratmaya', 'root': 'yaramak', 'type': 'Verb'}, {'input': 'yaratmaya', 'root': 'yaratmak', 'type': 'Verb'}, {'input': 'yaratmaya', 'root': 'yaramak', 'type': 'Verb'}]"
şeyi soluk aldı,"[{'input': 'şeyi', 'root': 'Şe', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şe', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şey', 'type': 'Noun'}, {'input': 'şeyi', 'root': 'şey', 'type': 'Noun'}, {'input': 'soluk', 'root': 'soluk', 'type': 'Adjective'}, {'input': 'soluk', 'root': 'soluk', 'type': 'Noun'}, {'input': 'soluk', 'root': 'Soluk', 'type': 'Noun'}, {'input': 'aldı', 'root': 'almak', 'type': 'Verb'}, {'input': 'aldı', 'root': 'al', 'type': 'Adjective'}, {'input': 'aldı', 'root': 'Al', 'type': 'Noun'}, {'input': 'aldı', 'root': 'al', 'type': 'Noun'}]"
sirk çadırından daha büyük,"[{'input': 'sirk', 'root': 'sirk', 'type': 'Noun'}, {'input': 'çadırından', 'root': 'çadır', 'type': 'Noun'}, {'input': 'çadırından', 'root': 'çadır', 'type': 'Noun'}, {'input': 'daha', 'root': 'daha', 'type': 'Adverb'}, {'input': 'daha', 'root': 'daha', 'type': 'Noun'}, {'input': 'büyük', 'root': 'büyük', 'type': 'Adjective'}, {'input': 'büyük', 'root': 'Büyük', 'type': 'Noun'}, {'input': 'büyük', 'root': 'büyük', 'type': 'Noun'}]"
şey başladı,"[{'input': 'şey', 'root': 'şey', 'type': 'Noun'}, {'input': 'başladı', 'root': 'başlamak', 'type': 'Verb'}]"
insan karar verince yok etmeye,"[{'input': 'insan', 'root': 'insan', 'type': 'Adjective'}, {'input': 'insan', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Noun'}, {'input': 'karar', 'root': 'karmak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karmak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karamak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karamak', 'type': 'Verb'}, {'input': 'karar', 'root': 'kararmak', 'type': 'Verb'}, {'input': 'karar', 'root': 'karar', 'type': 'Noun'}, {'input': 'verince', 'root': 'vermek', 'type': 'Verb'}, {'input': 'verince', 'root': 'veri', 'type': 'Noun'}, {'input': 'yok', 'root': 'yok', 'type': 'Conjunction'}, {'input': 'yok', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yok', 'root': 'yok', 'type': 'Adverb'}, {'input': 'yok', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yok', 'root': 'yok', 'type': 'Noun'}, {'input': 'etmeye', 'root': 'etmek', 'type': 'Verb'}, {'input': 'etmeye', 'root': 'etmek', 'type': 'Verb'}]"
kendisini topladı geleceğin,"[{'input': 'kendisini', 'root': 'kendi', 'type': 'Pronoun'}, {'input': 'topladı', 'root': 'toplamak', 'type': 'Verb'}, {'input': 'geleceğin', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'geleceğin', 'root': 'gelecek', 'type': 'Noun'}, {'input': 'geleceğin', 'root': 'gelecek', 'type': 'Noun'}, {'input': 'geleceğin', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'geleceğin', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'geleceğin', 'root': 'gelecek', 'type': 'Adjective'}, {'input': 'geleceğin', 'root': 'gelecek', 'type': 'Adjective'}]"
geçmişini bulduğu tek nedeni,"[{'input': 'geçmişini', 'root': 'geçmiş', 'type': 'Noun'}, {'input': 'geçmişini', 'root': 'geçmiş', 'type': 'Noun'}, {'input': 'geçmişini', 'root': 'geçmiş', 'type': 'Adjective'}, {'input': 'geçmişini', 'root': 'geçmiş', 'type': 'Adjective'}, {'input': 'geçmişini', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'geçmişini', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'bulduğu', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'bulduğu', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'bulduğu', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'tek', 'root': 'tek', 'type': 'Adverb'}, {'input': 'tek', 'root': 'tek', 'type': 'Adjective'}, {'input': 'tek', 'root': 'tek', 'type': 'Noun'}, {'input': 'nedeni', 'root': 'neden', 'type': 'Noun'}, {'input': 'nedeni', 'root': 'neden', 'type': 'Noun'}]"
parçaladı çevirdi çünküye,"[{'input': 'parçaladı', 'root': 'parçalamak', 'type': 'Verb'}, {'input': 'çevirdi', 'root': 'çevirmek', 'type': 'Verb'}]"
Beceremiyorum artık,"[{'input': 'Beceremiyorum', 'root': 'becermek', 'type': 'Verb'}, {'input': 'artık', 'root': 'artık', 'type': 'Adjective'}, {'input': 'artık', 'root': 'artık', 'type': 'Adverb'}, {'input': 'artık', 'root': 'artık', 'type': 'Noun'}]"
Senin adından kristal çiçekler yapmayı,"[{'input': 'Senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'Senin', 'root': 'se', 'type': 'Noun'}, {'input': 'Senin', 'root': 'se', 'type': 'Noun'}, {'input': 'Senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'adından', 'root': 'ad', 'type': 'Noun'}, {'input': 'adından', 'root': 'ad', 'type': 'Noun'}, {'input': 'kristal', 'root': 'kristal', 'type': 'Adjective'}, {'input': 'kristal', 'root': 'kristal', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'çiçeklemek', 'type': 'Verb'}, {'input': 'çiçekler', 'root': 'çiçeklemek', 'type': 'Verb'}, {'input': 'çiçekler', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'yapmayı', 'root': 'yapmak', 'type': 'Verb'}]"
