original_line,processed
"dolu toprağın şanla,","[{'input': 'dolu', 'root': 'dolu', 'type': 'Adjective'}, {'input': 'dolu', 'root': 'dolu', 'type': 'Noun'}, {'input': 'dolu', 'root': 'do', 'type': 'Noun'}, {'input': 'toprağın', 'root': 'toprak', 'type': 'Noun'}, {'input': 'toprağın', 'root': 'toprak', 'type': 'Noun'}, {'input': 'toprağın', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'toprağın', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'şanla', 'root': 'şan', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"değil, sanki bin vatan gibisin.","[{'input': 'değil', 'root': 'değil', 'type': 'Conjunction'}, {'input': 'değil', 'root': 'değil', 'type': 'Verb'}, {'input': 'değil', 'root': 'değmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'sanki', 'root': 'sanki', 'type': 'Adverb'}, {'input': 'bin', 'root': 'bin', 'type': 'Numeral'}, {'input': 'bin', 'root': 'binmek', 'type': 'Verb'}, {'input': 'vatan', 'root': 'vatan', 'type': 'Noun'}, {'input': 'gibisin', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibisin', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibisin', 'root': 'gibisi', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Yüce dağlarına çöken dumanla,"[{'input': 'Yüce', 'root': 'yüce', 'type': 'Adjective'}, {'input': 'dağlarına', 'root': 'dağ', 'type': 'Noun'}, {'input': 'dağlarına', 'root': 'dağ', 'type': 'Noun'}, {'input': 'dağlarına', 'root': 'dağ', 'type': 'Noun'}, {'input': 'dağlarına', 'root': 'dağ', 'type': 'Noun'}, {'input': 'çöken', 'root': 'çökmek', 'type': 'Verb'}, {'input': 'dumanla', 'root': 'dumanlamak', 'type': 'Verb'}, {'input': 'dumanla', 'root': 'Duma', 'type': 'Noun'}, {'input': 'dumanla', 'root': 'duman', 'type': 'Noun'}]"
Göklerde yazılı destan gibisin.,"[{'input': 'Göklerde', 'root': 'Gök', 'type': 'Noun'}, {'input': 'Göklerde', 'root': 'gök', 'type': 'Noun'}, {'input': 'Göklerde', 'root': 'gök', 'type': 'Adjective'}, {'input': 'yazılı', 'root': 'yazılı', 'type': 'Adjective'}, {'input': 'yazılı', 'root': 'yazılı', 'type': 'Noun'}, {'input': 'yazılı', 'root': 'yazı', 'type': 'Noun'}, {'input': 'destan', 'root': 'Destan', 'type': 'Noun'}, {'input': 'destan', 'root': 'destan', 'type': 'Noun'}, {'input': 'gibisin', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibisin', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibisin', 'root': 'gibisi', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Hep böyle bulutlar içinde başın,","[{'input': 'Hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adjective'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adverb'}, {'input': 'bulutlar', 'root': 'bulut', 'type': 'Noun'}, {'input': 'bulutlar', 'root': 'bulut', 'type': 'Noun'}, {'input': 'içinde', 'root': 'içinde', 'type': 'Adverb'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'başın', 'root': 'baş', 'type': 'Noun'}, {'input': 'başın', 'root': 'baş', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Hilâli kucaklar vatandaşın.,"[{'input': 'Hilâli', 'root': 'hilalî', 'type': 'Adjective'}, {'input': 'Hilâli', 'root': 'hilâl', 'type': 'Noun'}, {'input': 'Hilâli', 'root': 'hilâl', 'type': 'Noun'}, {'input': 'kucaklar', 'root': 'kucaklamak', 'type': 'Verb'}, {'input': 'kucaklar', 'root': 'kucaklamak', 'type': 'Verb'}, {'input': 'kucaklar', 'root': 'kucak', 'type': 'Noun'}, {'input': 'kucaklar', 'root': 'kucak', 'type': 'Adjective'}, {'input': 'kucaklar', 'root': 'kucak', 'type': 'Adjective'}, {'input': 'kucaklar', 'root': 'kucak', 'type': 'Noun'}, {'input': 'vatandaşın', 'root': 'vatandaş', 'type': 'Noun'}, {'input': 'vatandaşın', 'root': 'vatandaş', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Geçse asırlar, tazedir yaşın,","[{'input': 'Geçse', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'Geçse', 'root': 'geç', 'type': 'Adjective'}, {'input': 'asırlar', 'root': 'asır', 'type': 'Noun'}, {'input': 'asırlar', 'root': 'asır', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'tazedir', 'root': 'taze', 'type': 'Adjective'}, {'input': 'tazedir', 'root': 'taze', 'type': 'Noun'}, {'input': 'tazedir', 'root': 'Taze', 'type': 'Noun'}, {'input': 'yaşın', 'root': 'yaş', 'type': 'Noun'}, {'input': 'yaşın', 'root': 'yaş', 'type': 'Noun'}, {'input': 'yaşın', 'root': 'Yaşın', 'type': 'Noun'}, {'input': 'yaşın', 'root': 'yaş', 'type': 'Adjective'}, {'input': 'yaşın', 'root': 'yaş', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"leventsin, fidan gibisin.","[{'input': 'leventsin', 'root': 'levent', 'type': 'Adjective'}, {'input': 'leventsin', 'root': 'Levent', 'type': 'Noun'}, {'input': 'leventsin', 'root': 'levent', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'fidan', 'root': 'fidan', 'type': 'Noun'}, {'input': 'gibisin', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibisin', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibisin', 'root': 'gibisi', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Çiçeksin, bayılır kuşlar kokundan,","[{'input': 'Çiçeksin', 'root': 'çiçeksimek', 'type': 'Verb'}, {'input': 'Çiçeksin', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'Çiçeksin', 'root': 'Çiçek', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'bayılır', 'root': 'bayılmak', 'type': 'Verb'}, {'input': 'bayılır', 'root': 'bayılmak', 'type': 'Verb'}, {'input': 'bayılır', 'root': 'baymak', 'type': 'Verb'}, {'input': 'bayılır', 'root': 'baymak', 'type': 'Verb'}, {'input': 'kuşlar', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlar', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'kuşlar', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kokundan', 'root': 'kok', 'type': 'Noun'}, {'input': 'kokundan', 'root': 'kok', 'type': 'Noun'}, {'input': 'kokundan', 'root': 'koku', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
dalın yay zümrüt okundan,"[{'input': 'dalın', 'root': 'dalmak', 'type': 'Verb'}, {'input': 'dalın', 'root': 'dal', 'type': 'Noun'}, {'input': 'dalın', 'root': 'dal', 'type': 'Noun'}, {'input': 'dalın', 'root': 'dalmak', 'type': 'Verb'}, {'input': 'dalın', 'root': 'dal', 'type': 'Adjective'}, {'input': 'dalın', 'root': 'dal', 'type': 'Adjective'}, {'input': 'yay', 'root': 'yaymak', 'type': 'Verb'}, {'input': 'yay', 'root': 'Yay', 'type': 'Noun'}, {'input': 'yay', 'root': 'yay', 'type': 'Noun'}, {'input': 'zümrüt', 'root': 'zümrüt', 'type': 'Adjective'}, {'input': 'zümrüt', 'root': 'Zümrüt', 'type': 'Noun'}, {'input': 'zümrüt', 'root': 'zümrüt', 'type': 'Noun'}, {'input': 'okundan', 'root': 'ok', 'type': 'Noun'}, {'input': 'okundan', 'root': 'ok', 'type': 'Noun'}]"
