original_line,processed
Ey saçları “alagorsan” kesik hanım kız!,"[{'input': 'Ey', 'root': 'ey', 'type': 'Interjection'}, {'input': 'saçları', 'root': 'saç', 'type': 'Noun'}, {'input': 'saçları', 'root': 'saç', 'type': 'Noun'}, {'input': 'saçları', 'root': 'saç', 'type': 'Noun'}, {'input': 'saçları', 'root': 'saç', 'type': 'Noun'}, {'input': '""', 'root': '""', 'type': 'Punctuation'}, {'input': '""', 'root': '""', 'type': 'Punctuation'}, {'input': 'kesik', 'root': 'kesik', 'type': 'Adjective'}, {'input': 'kesik', 'root': 'kesik', 'type': 'Noun'}, {'input': 'hanım', 'root': 'hanım', 'type': 'Adjective'}, {'input': 'hanım', 'root': 'Han', 'type': 'Noun'}, {'input': 'hanım', 'root': 'han', 'type': 'Noun'}, {'input': 'hanım', 'root': 'hanım', 'type': 'Noun'}, {'input': 'hanım', 'root': 'Han', 'type': 'Noun'}, {'input': 'hanım', 'root': 'han', 'type': 'Noun'}, {'input': 'kız', 'root': 'kız', 'type': 'Interjection'}, {'input': 'kız', 'root': 'kızmak', 'type': 'Verb'}, {'input': 'kız', 'root': 'kız', 'type': 'Noun'}, {'input': '!', 'root': '!', 'type': 'Punctuation'}]"
Gülme öyle bana bakıp arsız arsız!,"[{'input': 'Gülme', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'Gülme', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Interjection'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Adjective'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Adverb'}, {'input': 'öyle', 'root': 'Ö', 'type': 'Noun'}, {'input': 'bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'bakıp', 'root': 'bakmak', 'type': 'Verb'}, {'input': 'arsız', 'root': 'arsız', 'type': 'Adjective'}, {'input': 'arsız', 'root': 'Ar', 'type': 'Noun'}, {'input': 'arsız', 'root': 'ar', 'type': 'Noun'}, {'input': 'arsız', 'root': 'arsız', 'type': 'Adjective'}, {'input': 'arsız', 'root': 'Ar', 'type': 'Noun'}, {'input': 'arsız', 'root': 'ar', 'type': 'Noun'}, {'input': '!', 'root': '!', 'type': 'Punctuation'}]"
Bacağımla alay etme pek topal diye.,"[{'input': 'Bacağımla', 'root': 'bacak', 'type': 'Noun'}, {'input': 'alay', 'root': 'alay', 'type': 'Noun'}, {'input': 'etme', 'root': 'etmek', 'type': 'Verb'}, {'input': 'etme', 'root': 'etmek', 'type': 'Verb'}, {'input': 'pek', 'root': 'pek', 'type': 'Adjective'}, {'input': 'pek', 'root': 'pek', 'type': 'Adverb'}, {'input': 'topal', 'root': 'topal', 'type': 'Adjective'}, {'input': 'diye', 'root': 'diye', 'type': 'PostPositive'}, {'input': 'diye', 'root': 'demek', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
sorsana topallık bana nereden hediye ?,"[{'input': 'sorsana', 'root': 'sormak', 'type': 'Verb'}, {'input': 'topallık', 'root': 'topal', 'type': 'Adjective'}, {'input': 'bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'nereden', 'root': 'nere', 'type': 'Pronoun'}, {'input': 'hediye', 'root': 'hediye', 'type': 'Noun'}, {'input': 'hediye', 'root': 'Hediye', 'type': 'Noun'}, {'input': '?', 'root': '?', 'type': 'Punctuation'}]"
"Şişli’de dans ederken gece gündüz,","[{'input': 'Şişli'de', 'root': 'Şişli', 'type': 'Noun'}, {'input': 'dans', 'root': 'dans', 'type': 'Noun'}, {'input': 'ederken', 'root': 'etmek', 'type': 'Verb'}, {'input': 'ederken', 'root': 'eder', 'type': 'Noun'}, {'input': 'gece', 'root': 'gece', 'type': 'Adverb'}, {'input': 'gece', 'root': 'Ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'gece', 'type': 'Noun'}, {'input': 'gündüz', 'root': 'gündüz', 'type': 'Adverb'}, {'input': 'gündüz', 'root': 'gündüz', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"ötede ovalar, çaylar, dümdüz","[{'input': 'ötede', 'root': 'öte', 'type': 'Noun'}, {'input': 'ovalar', 'root': 'ovmak', 'type': 'Verb'}, {'input': 'ovalar', 'root': 'ovalamak', 'type': 'Verb'}, {'input': 'ovalar', 'root': 'ovalamak', 'type': 'Verb'}, {'input': 'ovalar', 'root': 'ova', 'type': 'Noun'}, {'input': 'ovalar', 'root': 'ova', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'çaylar', 'root': 'Çay', 'type': 'Noun'}, {'input': 'çaylar', 'root': 'çay', 'type': 'Noun'}, {'input': 'çaylar', 'root': 'Çay', 'type': 'Noun'}, {'input': 'çaylar', 'root': 'çay', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'dümdüz', 'root': 'dümdüz', 'type': 'Adjective'}]"
"Yaylaları geçtik, karlı dağları aştık;","[{'input': 'Yaylaları', 'root': 'yayla', 'type': 'Noun'}, {'input': 'Yaylaları', 'root': 'yayla', 'type': 'Noun'}, {'input': 'Yaylaları', 'root': 'yayla', 'type': 'Noun'}, {'input': 'Yaylaları', 'root': 'yayla', 'type': 'Noun'}, {'input': 'geçtik', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'geçtik', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'geçtik', 'root': 'geç', 'type': 'Adjective'}, {'input': 'geçtik', 'root': 'geçmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'karlı', 'root': 'Karl', 'type': 'Noun'}, {'input': 'karlı', 'root': 'Karl', 'type': 'Noun'}, {'input': 'karlı', 'root': 'kar', 'type': 'Noun'}, {'input': 'karlı', 'root': 'kâr', 'type': 'Noun'}, {'input': 'dağları', 'root': 'dağ', 'type': 'Noun'}, {'input': 'dağları', 'root': 'dağ', 'type': 'Noun'}, {'input': 'dağları', 'root': 'dağ', 'type': 'Noun'}, {'input': 'dağları', 'root': 'dağ', 'type': 'Noun'}, {'input': 'aştık', 'root': 'aşmak', 'type': 'Verb'}, {'input': 'aştık', 'root': 'aşmak', 'type': 'Verb'}, {'input': 'aştık', 'root': 'aşmak', 'type': 'Verb'}, {'input': 'aştık', 'root': 'aş', 'type': 'Noun'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
salonda dans ederken bizler savaştık .,"[{'input': 'salonda', 'root': 'salon', 'type': 'Noun'}, {'input': 'dans', 'root': 'dans', 'type': 'Noun'}, {'input': 'ederken', 'root': 'etmek', 'type': 'Verb'}, {'input': 'ederken', 'root': 'eder', 'type': 'Noun'}, {'input': 'bizler', 'root': 'bizlemek', 'type': 'Verb'}, {'input': 'bizler', 'root': 'bizlemek', 'type': 'Verb'}, {'input': 'bizler', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bizler', 'root': 'biz', 'type': 'Noun'}, {'input': 'bizler', 'root': 'biz', 'type': 'Noun'}, {'input': 'savaştık', 'root': 'savaşmak', 'type': 'Verb'}, {'input': 'savaştık', 'root': 'savaşmak', 'type': 'Verb'}, {'input': 'savaştık', 'root': 'savaş', 'type': 'Noun'}, {'input': 'savaştık', 'root': 'savaşmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Ey dudağı kanım kıpkırmızı kız,","[{'input': 'Ey', 'root': 'ey', 'type': 'Interjection'}, {'input': 'dudağı', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudağı', 'root': 'dudak', 'type': 'Noun'}, {'input': 'kanım', 'root': 'kan', 'type': 'Noun'}, {'input': 'kanım', 'root': 'kanı', 'type': 'Noun'}, {'input': 'kanım', 'root': 'kan', 'type': 'Noun'}, {'input': 'kıpkırmızı', 'root': 'kıpkırmızı', 'type': 'Adjective'}, {'input': 'kız', 'root': 'kız', 'type': 'Interjection'}, {'input': 'kız', 'root': 'kızmak', 'type': 'Verb'}, {'input': 'kız', 'root': 'kız', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Gülme öyle bana bakıp arsız arsız!,"[{'input': 'Gülme', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'Gülme', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Interjection'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Adjective'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Adverb'}, {'input': 'öyle', 'root': 'Ö', 'type': 'Noun'}, {'input': 'bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'bakıp', 'root': 'bakmak', 'type': 'Verb'}, {'input': 'arsız', 'root': 'arsız', 'type': 'Adjective'}, {'input': 'arsız', 'root': 'Ar', 'type': 'Noun'}, {'input': 'arsız', 'root': 'ar', 'type': 'Noun'}, {'input': 'arsız', 'root': 'arsız', 'type': 'Adjective'}, {'input': 'arsız', 'root': 'Ar', 'type': 'Noun'}, {'input': 'arsız', 'root': 'ar', 'type': 'Noun'}, {'input': '!', 'root': '!', 'type': 'Punctuation'}]"
