original_line,processed
Bahçe dıvarından aştım,"[{'input': 'Bahçe', 'root': 'bahçe', 'type': 'Noun'}, {'input': 'Bahçe', 'root': 'Bahçe', 'type': 'Noun'}, {'input': 'aştım', 'root': 'aşmak', 'type': 'Verb'}, {'input': 'aştım', 'root': 'aş', 'type': 'Noun'}]"
Kırmızı güle ulaştım,"[{'input': 'Kırmızı', 'root': 'kırmızı', 'type': 'Adjective'}, {'input': 'Kırmızı', 'root': 'kırmız', 'type': 'Noun'}, {'input': 'Kırmızı', 'root': 'kırmız', 'type': 'Noun'}, {'input': 'Kırmızı', 'root': 'Kırmız', 'type': 'Noun'}, {'input': 'Kırmızı', 'root': 'Kırmız', 'type': 'Noun'}, {'input': 'Kırmızı', 'root': 'kırmızı', 'type': 'Noun'}, {'input': 'güle', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'güle', 'root': 'gül', 'type': 'Noun'}, {'input': 'ulaştım', 'root': 'ulaşmak', 'type': 'Verb'}, {'input': 'ulaştım', 'root': 'Ulaş', 'type': 'Noun'}]"
Öptüm koktum helallaştım,"[{'input': 'Öptüm', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'koktum', 'root': 'kokmak', 'type': 'Verb'}, {'input': 'koktum', 'root': 'kok', 'type': 'Noun'}, {'input': 'helallaştım', 'root': 'helallaşmak', 'type': 'Verb'}]"
Kadınım şalı kuşan gel,"[{'input': 'Kadınım', 'root': 'kadın', 'type': 'Noun'}, {'input': 'Kadınım', 'root': 'kadın', 'type': 'Adjective'}, {'input': 'Kadınım', 'root': 'kadın', 'type': 'Adjective'}, {'input': 'Kadınım', 'root': 'kadı', 'type': 'Noun'}, {'input': 'Kadınım', 'root': 'kadın', 'type': 'Noun'}, {'input': 'şalı', 'root': 'şal', 'type': 'Noun'}, {'input': 'şalı', 'root': 'şal', 'type': 'Noun'}, {'input': 'kuşan', 'root': 'kuşanmak', 'type': 'Verb'}, {'input': 'gel', 'root': 'gelmek', 'type': 'Verb'}]"
Nar ağacı narsız olmaz,"[{'input': 'Nar', 'root': 'nar', 'type': 'Noun'}, {'input': 'Nar', 'root': 'nâr', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Noun'}, {'input': 'narsız', 'root': 'nar', 'type': 'Noun'}, {'input': 'narsız', 'root': 'nâr', 'type': 'Noun'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Adjective'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Noun'}]"
Al rubayı ba(ğ) lan gel,"[{'input': 'Al', 'root': 'al', 'type': 'Adjective'}, {'input': 'Al', 'root': 'almak', 'type': 'Verb'}, {'input': 'Al', 'root': 'Al', 'type': 'Noun'}, {'input': 'Al', 'root': 'al', 'type': 'Noun'}, {'input': 'rubayı', 'root': 'ruba', 'type': 'Noun'}, {'input': 'ba', 'root': 'Ba', 'type': 'Noun'}, {'input': '(', 'root': '(', 'type': 'Punctuation'}, {'input': ')', 'root': ')', 'type': 'Punctuation'}, {'input': 'lan', 'root': 'lan', 'type': 'Interjection'}, {'input': 'lan', 'root': 'la', 'type': 'Noun'}, {'input': 'gel', 'root': 'gelmek', 'type': 'Verb'}]"
Gül ağacı gülsüz olmaz,"[{'input': 'Gül', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'Gül', 'root': 'gül', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Noun'}, {'input': 'gülsüz', 'root': 'gül', 'type': 'Noun'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Adjective'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Noun'}]"
Benim yarim bensiz olmaz,"[{'input': 'Benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'yarim', 'root': 'yâr', 'type': 'Noun'}, {'input': 'yarim', 'root': 'yâr', 'type': 'Noun'}, {'input': 'bensiz', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'bensiz', 'root': 'ben', 'type': 'Noun'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Adjective'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Noun'}]"
Nar ağacı narlı çiçek,"[{'input': 'Nar', 'root': 'nar', 'type': 'Noun'}, {'input': 'Nar', 'root': 'nâr', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Noun'}, {'input': 'narlı', 'root': 'nar', 'type': 'Noun'}, {'input': 'narlı', 'root': 'nâr', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'Çiçek', 'type': 'Noun'}]"
Gül ağacı güllü çiçek,"[{'input': 'Gül', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'Gül', 'root': 'gül', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Noun'}, {'input': 'güllü', 'root': 'gül', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'Çiçek', 'type': 'Noun'}]"
