original_line,processed
Bayraksızlar bayraksızlar,"[{'input': 'Bayraksızlar', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'Bayraksızlar', 'root': 'Bayrak', 'type': 'Noun'}, {'input': 'Bayraksızlar', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'Bayraksızlar', 'root': 'Bayrak', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'Bayrak', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'Bayrak', 'type': 'Noun'}]"
Yere düşse bayrak sızlar,"[{'input': 'Yere', 'root': 'yermek', 'type': 'Verb'}, {'input': 'Yere', 'root': 'yer', 'type': 'Noun'}, {'input': 'düşse', 'root': 'düşmek', 'type': 'Verb'}, {'input': 'düşse', 'root': 'düş', 'type': 'Noun'}, {'input': 'bayrak', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayrak', 'root': 'Bayrak', 'type': 'Noun'}, {'input': 'sızlar', 'root': 'sızlamak', 'type': 'Verb'}, {'input': 'sızlar', 'root': 'sızlamak', 'type': 'Verb'}]"
Nerden bilsin kıymetini,"[{'input': 'Nerden', 'root': 'Ner', 'type': 'Noun'}, {'input': 'bilsin', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'kıymetini', 'root': 'Kıymet', 'type': 'Noun'}, {'input': 'kıymetini', 'root': 'Kıymet', 'type': 'Noun'}, {'input': 'kıymetini', 'root': 'kıymet', 'type': 'Noun'}, {'input': 'kıymetini', 'root': 'kıymet', 'type': 'Noun'}]"
Soysuz sopsuz bayraksızlar,"[{'input': 'Soysuz', 'root': 'soysuz', 'type': 'Adjective'}, {'input': 'Soysuz', 'root': 'soy', 'type': 'Noun'}, {'input': 'Soysuz', 'root': 'soy', 'type': 'Adjective'}, {'input': 'sopsuz', 'root': 'sop', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'Bayrak', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayraksızlar', 'root': 'Bayrak', 'type': 'Noun'}]"
olurdu yazmasaydım,"[{'input': 'olurdu', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olurdu', 'root': 'olur', 'type': 'Adjective'}, {'input': 'olurdu', 'root': 'olur', 'type': 'Noun'}, {'input': 'olurdu', 'root': 'Olur', 'type': 'Noun'}, {'input': 'yazmasaydım', 'root': 'yazmak', 'type': 'Verb'}]"
kara yazıyı,"[{'input': 'kara', 'root': 'kara', 'type': 'Adjective'}, {'input': 'kara', 'root': 'karmak', 'type': 'Verb'}, {'input': 'kara', 'root': 'karamak', 'type': 'Verb'}, {'input': 'kara', 'root': 'kar', 'type': 'Noun'}, {'input': 'kara', 'root': 'kâr', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Noun'}, {'input': 'yazıyı', 'root': 'yazı', 'type': 'Noun'}]"
Bilmeseydi namert soysuz,"[{'input': 'Bilmeseydi', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'namert', 'root': 'namert', 'type': 'Adjective'}, {'input': 'soysuz', 'root': 'soysuz', 'type': 'Adjective'}, {'input': 'soysuz', 'root': 'soy', 'type': 'Noun'}, {'input': 'soysuz', 'root': 'soy', 'type': 'Adjective'}]"
İçimdeki sızıyı,"[{'input': 'İçimdeki', 'root': 'iç', 'type': 'Noun'}, {'input': 'İçimdeki', 'root': 'içim', 'type': 'Noun'}, {'input': 'İçimdeki', 'root': 'iç', 'type': 'Adjective'}, {'input': 'İçimdeki', 'root': 'içim', 'type': 'Adjective'}, {'input': 'sızıyı', 'root': 'sızı', 'type': 'Noun'}]"
Yıldızların isyanı var,"[{'input': 'Yıldızların', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'Yıldızların', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'Yıldızların', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'Yıldızların', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'isyanı', 'root': 'isyan', 'type': 'Noun'}, {'input': 'isyanı', 'root': 'isyan', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}]"
Hilâl taşıyan felek,"[{'input': 'Hilâl', 'root': 'Hilâl', 'type': 'Noun'}, {'input': 'Hilâl', 'root': 'hilâl', 'type': 'Noun'}, {'input': 'taşıyan', 'root': 'taşımak', 'type': 'Verb'}, {'input': 'felek', 'root': 'felek', 'type': 'Noun'}]"
Damla damla kan akıyor,"[{'input': 'Damla', 'root': 'damla', 'type': 'Adjective'}, {'input': 'Damla', 'root': 'damlamak', 'type': 'Verb'}, {'input': 'Damla', 'root': 'dam', 'type': 'Noun'}, {'input': 'Damla', 'root': 'damla', 'type': 'Noun'}, {'input': 'damla', 'root': 'damla', 'type': 'Adjective'}, {'input': 'damla', 'root': 'damlamak', 'type': 'Verb'}, {'input': 'damla', 'root': 'dam', 'type': 'Noun'}, {'input': 'damla', 'root': 'damla', 'type': 'Noun'}, {'input': 'kan', 'root': 'kanmak', 'type': 'Verb'}, {'input': 'kan', 'root': 'kan', 'type': 'Noun'}, {'input': 'akıyor', 'root': 'akmak', 'type': 'Verb'}]"
Delik deşik yürek,"[{'input': 'Delik', 'root': 'delik', 'type': 'Adjective'}, {'input': 'Delik', 'root': 'delik', 'type': 'Noun'}, {'input': 'Delik', 'root': 'de', 'type': 'Noun'}, {'input': 'deşik', 'root': 'deşik', 'type': 'Adjective'}, {'input': 'yürek', 'root': 'Yürek', 'type': 'Noun'}, {'input': 'yürek', 'root': 'yürek', 'type': 'Noun'}]"
Al rengine kara bağlar,"[{'input': 'Al', 'root': 'al', 'type': 'Adjective'}, {'input': 'Al', 'root': 'almak', 'type': 'Verb'}, {'input': 'Al', 'root': 'Al', 'type': 'Noun'}, {'input': 'Al', 'root': 'al', 'type': 'Noun'}, {'input': 'rengine', 'root': 'renk', 'type': 'Noun'}, {'input': 'rengine', 'root': 'renk', 'type': 'Noun'}, {'input': 'rengine', 'root': 'Rengin', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Adjective'}, {'input': 'kara', 'root': 'karmak', 'type': 'Verb'}, {'input': 'kara', 'root': 'karamak', 'type': 'Verb'}, {'input': 'kara', 'root': 'kar', 'type': 'Noun'}, {'input': 'kara', 'root': 'kâr', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Noun'}, {'input': 'bağlar', 'root': 'bağlamak', 'type': 'Verb'}, {'input': 'bağlar', 'root': 'bağlamak', 'type': 'Verb'}, {'input': 'bağlar', 'root': 'bağ', 'type': 'Noun'}, {'input': 'bağlar', 'root': 'bağ', 'type': 'Noun'}]"
Yastadır deli gönül,"[{'input': 'Yastadır', 'root': 'yas', 'type': 'Noun'}, {'input': 'deli', 'root': 'deli', 'type': 'Adjective'}, {'input': 'deli', 'root': 'de', 'type': 'Noun'}, {'input': 'gönül', 'root': 'Gönül', 'type': 'Noun'}, {'input': 'gönül', 'root': 'gönül', 'type': 'Noun'}]"
Aşık'ın olmuşum senin,"[{'input': 'Aşık'ın', 'root': 'âşık', 'type': 'Noun'}, {'input': 'Aşık'ın', 'root': 'âşık', 'type': 'Noun'}, {'input': 'Aşık'ın', 'root': 'aşık', 'type': 'Noun'}, {'input': 'Aşık'ın', 'root': 'aşık', 'type': 'Noun'}, {'input': 'olmuşum', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuşum', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuşum', 'root': 'olmak', 'type': 'Verb'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}]"
Hastadır deli gönül,"[{'input': 'Hastadır', 'root': 'hasta', 'type': 'Adjective'}, {'input': 'Hastadır', 'root': 'has', 'type': 'Noun'}, {'input': 'Hastadır', 'root': 'Hast', 'type': 'Noun'}, {'input': 'Hastadır', 'root': 'has', 'type': 'Adjective'}, {'input': 'deli', 'root': 'deli', 'type': 'Adjective'}, {'input': 'deli', 'root': 'de', 'type': 'Noun'}, {'input': 'gönül', 'root': 'Gönül', 'type': 'Noun'}, {'input': 'gönül', 'root': 'gönül', 'type': 'Noun'}]"
Renginde şehitlik gizli,"[{'input': 'Renginde', 'root': 'renk', 'type': 'Noun'}, {'input': 'Renginde', 'root': 'renk', 'type': 'Noun'}, {'input': 'Renginde', 'root': 'Rengin', 'type': 'Noun'}, {'input': 'şehitlik', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehitlik', 'root': 'şehit', 'type': 'Noun'}, {'input': 'gizli', 'root': 'gizli', 'type': 'Adjective'}, {'input': 'gizli', 'root': 'gizli', 'type': 'Adverb'}, {'input': 'gizli', 'root': 'giz', 'type': 'Noun'}]"
Hilâlinde mana var,"[{'input': 'Hilâlinde', 'root': 'hilâl', 'type': 'Noun'}, {'input': 'Hilâlinde', 'root': 'hilâl', 'type': 'Noun'}, {'input': 'Hilâlinde', 'root': 'hilalî', 'type': 'Adjective'}, {'input': 'mana', 'root': 'Man', 'type': 'Noun'}, {'input': 'mana', 'root': 'Mana', 'type': 'Noun'}, {'input': 'mana', 'root': 'mana', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}]"
Yüreğimde saklamışım,"[{'input': 'Yüreğimde', 'root': 'yürek', 'type': 'Noun'}, {'input': 'saklamışım', 'root': 'saklamak', 'type': 'Verb'}, {'input': 'saklamışım', 'root': 'saklamak', 'type': 'Verb'}, {'input': 'saklamışım', 'root': 'saklamak', 'type': 'Verb'}]"
Kurbanında kına var,"[{'input': 'Kurbanında', 'root': 'kurban', 'type': 'Noun'}, {'input': 'Kurbanında', 'root': 'kurban', 'type': 'Noun'}, {'input': 'kına', 'root': 'kınamak', 'type': 'Verb'}, {'input': 'kına', 'root': 'kın', 'type': 'Noun'}, {'input': 'kına', 'root': 'kına', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}]"
Toprağa düşse yiğit,"[{'input': 'Toprağa', 'root': 'toprak', 'type': 'Noun'}, {'input': 'Toprağa', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'düşse', 'root': 'düşmek', 'type': 'Verb'}, {'input': 'düşse', 'root': 'düş', 'type': 'Noun'}, {'input': 'yiğit', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğit', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğit', 'root': 'yiğit', 'type': 'Noun'}]"
Ölüm güç verir bize,"[{'input': 'Ölüm', 'root': 'ölüm', 'type': 'Interjection'}, {'input': 'Ölüm', 'root': 'ölü', 'type': 'Noun'}, {'input': 'Ölüm', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'Ölüm', 'root': 'ölü', 'type': 'Adjective'}, {'input': 'güç', 'root': 'güç', 'type': 'Adjective'}, {'input': 'güç', 'root': 'güç', 'type': 'Adverb'}, {'input': 'güç', 'root': 'Güç', 'type': 'Noun'}, {'input': 'güç', 'root': 'güç', 'type': 'Noun'}, {'input': 'verir', 'root': 'vermek', 'type': 'Verb'}, {'input': 'verir', 'root': 'vermek', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
İnancıma teslim oldum,"[{'input': 'İnancıma', 'root': 'inanç', 'type': 'Noun'}, {'input': 'İnancıma', 'root': 'inan', 'type': 'Noun'}, {'input': 'teslim', 'root': 'teslim', 'type': 'Interjection'}, {'input': 'teslim', 'root': 'teslim', 'type': 'Noun'}, {'input': 'oldum', 'root': 'olmak', 'type': 'Verb'}]"
Zulüm güç verir bize,"[{'input': 'Zulüm', 'root': 'zulüm', 'type': 'Noun'}, {'input': 'güç', 'root': 'güç', 'type': 'Adjective'}, {'input': 'güç', 'root': 'güç', 'type': 'Adverb'}, {'input': 'güç', 'root': 'Güç', 'type': 'Noun'}, {'input': 'güç', 'root': 'güç', 'type': 'Noun'}, {'input': 'verir', 'root': 'vermek', 'type': 'Verb'}, {'input': 'verir', 'root': 'vermek', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
