original_line,processed
"Başta,sevinç getirir kısa süre","[{'input': 'Başta', 'root': 'başta', 'type': 'Adverb'}, {'input': 'Başta', 'root': 'baş', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'sevinç', 'root': 'Sevinç', 'type': 'Noun'}, {'input': 'sevinç', 'root': 'sevinç', 'type': 'Noun'}, {'input': 'getirir', 'root': 'getirmek', 'type': 'Verb'}, {'input': 'getirir', 'root': 'getirmek', 'type': 'Verb'}, {'input': 'kısa', 'root': 'kısa', 'type': 'Adjective'}, {'input': 'kısa', 'root': 'kısa', 'type': 'Adverb'}, {'input': 'kısa', 'root': 'kısmak', 'type': 'Verb'}, {'input': 'kısa', 'root': 'kısa', 'type': 'Noun'}, {'input': 'süre', 'root': 'sürmek', 'type': 'Verb'}, {'input': 'süre', 'root': 'süre', 'type': 'Noun'}]"
Ortada sonda yıkıntıyı yaşamanın,"[{'input': 'Ortada', 'root': 'orta', 'type': 'Noun'}, {'input': 'Ortada', 'root': 'Orta', 'type': 'Noun'}, {'input': 'Ortada', 'root': 'orta', 'type': 'Adjective'}, {'input': 'sonda', 'root': 'son', 'type': 'Noun'}, {'input': 'sonda', 'root': 'sonda', 'type': 'Noun'}, {'input': 'sonda', 'root': 'son', 'type': 'Numeral'}, {'input': 'sonda', 'root': 'son', 'type': 'Adjective'}, {'input': 'yıkıntıyı', 'root': 'yıkıntı', 'type': 'Noun'}, {'input': 'yaşamanın', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'yaşamanın', 'root': 'yaşamak', 'type': 'Verb'}]"
"Adı,Aşk'tır","[{'input': 'Adı', 'root': 'ad', 'type': 'Noun'}, {'input': 'Adı', 'root': 'ad', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'Aşk'tır', 'root': 'aşk', 'type': 'Noun'}]"
"Hatta geriye sarıp kaseti,","[{'input': 'Hatta', 'root': 'hatta', 'type': 'Adverb'}, {'input': 'Hatta', 'root': 'hatta', 'type': 'Conjunction'}, {'input': 'Hatta', 'root': 'hat', 'type': 'Noun'}, {'input': 'Hatta', 'root': 'hat', 'type': 'Noun'}, {'input': 'geriye', 'root': 'geri', 'type': 'Noun'}, {'input': 'geriye', 'root': 'geri', 'type': 'Adjective'}, {'input': 'sarıp', 'root': 'sarmak', 'type': 'Verb'}, {'input': 'kaseti', 'root': 'kaset', 'type': 'Noun'}, {'input': 'kaseti', 'root': 'kaset', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
ömür dolduran coşku haseti,"[{'input': 'ömür', 'root': 'Ömür', 'type': 'Noun'}, {'input': 'ömür', 'root': 'ömür', 'type': 'Noun'}, {'input': 'dolduran', 'root': 'doldurmak', 'type': 'Verb'}, {'input': 'dolduran', 'root': 'dolmak', 'type': 'Verb'}, {'input': 'coşku', 'root': 'coşku', 'type': 'Noun'}]"
yaman çöküntüyü yaşamanın,"[{'input': 'yaman', 'root': 'yaman', 'type': 'Adjective'}, {'input': 'yaman', 'root': 'yamanmak', 'type': 'Verb'}, {'input': 'yaman', 'root': 'yama', 'type': 'Noun'}, {'input': 'yaman', 'root': 'yamamak', 'type': 'Verb'}, {'input': 'çöküntüyü', 'root': 'çöküntü', 'type': 'Noun'}, {'input': 'yaşamanın', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'yaşamanın', 'root': 'yaşamak', 'type': 'Verb'}]"
"Adı,Aşktır","[{'input': 'Adı', 'root': 'ad', 'type': 'Noun'}, {'input': 'Adı', 'root': 'ad', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'Aşktır', 'root': 'aşk', 'type': 'Noun'}]"
gençken renkli cepken sevgilim,"[{'input': 'gençken', 'root': 'genç', 'type': 'Adjective'}, {'input': 'gençken', 'root': 'genç', 'type': 'Noun'}, {'input': 'gençken', 'root': 'Genç', 'type': 'Noun'}, {'input': 'renkli', 'root': 'renk', 'type': 'Noun'}, {'input': 'cepken', 'root': 'cepken', 'type': 'Noun'}, {'input': 'cepken', 'root': 'cep', 'type': 'Noun'}, {'input': 'sevgilim', 'root': 'sevgili', 'type': 'Noun'}, {'input': 'sevgilim', 'root': 'Sevgilim', 'type': 'Noun'}, {'input': 'sevgilim', 'root': 'sevgili', 'type': 'Adjective'}, {'input': 'sevgilim', 'root': 'sevgi', 'type': 'Noun'}]"
çift bıçaklı sevinç,"[{'input': 'çift', 'root': 'çift', 'type': 'Adjective'}, {'input': 'çift', 'root': 'çift', 'type': 'Noun'}, {'input': 'bıçaklı', 'root': 'bıçak', 'type': 'Noun'}, {'input': 'sevinç', 'root': 'Sevinç', 'type': 'Noun'}, {'input': 'sevinç', 'root': 'sevinç', 'type': 'Noun'}]"
unuttum diye şarkı,"[{'input': 'unuttum', 'root': 'unutmak', 'type': 'Verb'}, {'input': 'diye', 'root': 'diye', 'type': 'PostPositive'}, {'input': 'diye', 'root': 'demek', 'type': 'Verb'}, {'input': 'şarkı', 'root': 'Şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'Şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'şark', 'type': 'Noun'}, {'input': 'şarkı', 'root': 'şarkı', 'type': 'Noun'}]"
