original_line,processed
Çöl çöl olmuş kalbimiz hal olmuş bize,"[{'input': 'Çöl', 'root': 'çöl', 'type': 'Noun'}, {'input': 'çöl', 'root': 'çöl', 'type': 'Noun'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'kalbimiz', 'root': 'kalp', 'type': 'Noun'}, {'input': 'kalbimiz', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hâl', 'type': 'Noun'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
Şam nerede akşam hal olmuş bize,"[{'input': 'Şam', 'root': 'Şam', 'type': 'Noun'}, {'input': 'nerede', 'root': 'nerede', 'type': 'Interjection'}, {'input': 'nerede', 'root': 'nerede', 'type': 'Adverb'}, {'input': 'nerede', 'root': 'nere', 'type': 'Pronoun'}, {'input': 'akşam', 'root': 'akşam', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hâl', 'type': 'Noun'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
Yağmalanmış kalbimin ülkesi Kudüs,"[{'input': 'Yağmalanmış', 'root': 'yağma', 'type': 'Adjective'}, {'input': 'Yağmalanmış', 'root': 'yağma', 'type': 'Adjective'}, {'input': 'Yağmalanmış', 'root': 'yağmalamak', 'type': 'Verb'}, {'input': 'Yağmalanmış', 'root': 'yağmalamak', 'type': 'Verb'}, {'input': 'Yağmalanmış', 'root': 'yağma', 'type': 'Noun'}, {'input': 'Yağmalanmış', 'root': 'yağma', 'type': 'Noun'}, {'input': 'kalbimin', 'root': 'kalp', 'type': 'Noun'}, {'input': 'kalbimin', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'ülkesi', 'root': 'ülke', 'type': 'Noun'}, {'input': 'ülkesi', 'root': 'Ülke', 'type': 'Noun'}, {'input': 'Kudüs', 'root': 'Kudüs', 'type': 'Noun'}]"
Filistin Endülüs hal olmuş bize,"[{'input': 'Filistin', 'root': 'Filistin', 'type': 'Noun'}, {'input': 'Endülüs', 'root': 'Endülüs', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hâl', 'type': 'Noun'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
Buhara nerede ey baharı unutmuş kalbim,"[{'input': 'Buhara', 'root': 'buhar', 'type': 'Noun'}, {'input': 'Buhara', 'root': 'Buhara', 'type': 'Noun'}, {'input': 'nerede', 'root': 'nerede', 'type': 'Interjection'}, {'input': 'nerede', 'root': 'nerede', 'type': 'Adverb'}, {'input': 'nerede', 'root': 'nere', 'type': 'Pronoun'}, {'input': 'ey', 'root': 'ey', 'type': 'Interjection'}, {'input': 'baharı', 'root': 'bahar', 'type': 'Noun'}, {'input': 'baharı', 'root': 'bahar', 'type': 'Noun'}, {'input': 'unutmuş', 'root': 'unutmak', 'type': 'Verb'}, {'input': 'unutmuş', 'root': 'unutmak', 'type': 'Verb'}, {'input': 'kalbim', 'root': 'kalp', 'type': 'Noun'}, {'input': 'kalbim', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'kalbim', 'root': 'kalp', 'type': 'Noun'}]"
Şam nerede akşam hal olmuş bize,"[{'input': 'Şam', 'root': 'Şam', 'type': 'Noun'}, {'input': 'nerede', 'root': 'nerede', 'type': 'Interjection'}, {'input': 'nerede', 'root': 'nerede', 'type': 'Adverb'}, {'input': 'nerede', 'root': 'nere', 'type': 'Pronoun'}, {'input': 'akşam', 'root': 'akşam', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hâl', 'type': 'Noun'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
Sürülmüş sahipleri canım İstanbul'un,"[{'input': 'Sürülmüş', 'root': 'sürülmek', 'type': 'Verb'}, {'input': 'Sürülmüş', 'root': 'sürülmek', 'type': 'Verb'}, {'input': 'Sürülmüş', 'root': 'sürmek', 'type': 'Verb'}, {'input': 'Sürülmüş', 'root': 'sürmek', 'type': 'Verb'}, {'input': 'sahipleri', 'root': 'sahip', 'type': 'Noun'}, {'input': 'sahipleri', 'root': 'sahip', 'type': 'Noun'}, {'input': 'sahipleri', 'root': 'sahip', 'type': 'Noun'}, {'input': 'sahipleri', 'root': 'sahip', 'type': 'Noun'}, {'input': 'canım', 'root': 'Can', 'type': 'Noun'}, {'input': 'canım', 'root': 'can', 'type': 'Noun'}, {'input': 'canım', 'root': 'can', 'type': 'Adjective'}, {'input': 'canım', 'root': 'can', 'type': 'Adjective'}, {'input': 'canım', 'root': 'Can', 'type': 'Noun'}, {'input': 'canım', 'root': 'can', 'type': 'Noun'}, {'input': 'İstanbul'un', 'root': 'İstanbul', 'type': 'Noun'}, {'input': 'İstanbul'un', 'root': 'İstanbul', 'type': 'Noun'}]"
Tükenmiş gurbetlerde hal olmuş bize,"[{'input': 'Tükenmiş', 'root': 'tükenmek', 'type': 'Verb'}, {'input': 'Tükenmiş', 'root': 'tükenmek', 'type': 'Verb'}, {'input': 'gurbetlerde', 'root': 'gurbet', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hâl', 'type': 'Noun'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
Kurumuş ta içerden İstanbul çeşmeleri,"[{'input': 'Kurumuş', 'root': 'kurumak', 'type': 'Verb'}, {'input': 'Kurumuş', 'root': 'kurumak', 'type': 'Verb'}, {'input': 'ta', 'root': 'ta', 'type': 'Adverb'}, {'input': 'ta', 'root': 'Ta', 'type': 'Noun'}, {'input': 'içerden', 'root': 'içeri', 'type': 'Noun'}, {'input': 'içerden', 'root': 'içeri', 'type': 'Adjective'}, {'input': 'İstanbul', 'root': 'İstanbul', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'çeşme', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'çeşme', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'çeşme', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'çeşme', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'Çeşme', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'Çeşme', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'Çeşme', 'type': 'Noun'}, {'input': 'çeşmeleri', 'root': 'Çeşme', 'type': 'Noun'}]"
Kalmamış damla su hal olmuş bize,"[{'input': 'Kalmamış', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'Kalmamış', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'damla', 'root': 'damla', 'type': 'Adjective'}, {'input': 'damla', 'root': 'damlamak', 'type': 'Verb'}, {'input': 'damla', 'root': 'dam', 'type': 'Noun'}, {'input': 'damla', 'root': 'damla', 'type': 'Noun'}, {'input': 'su', 'root': 'su', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hal', 'type': 'Noun'}, {'input': 'hal', 'root': 'hâl', 'type': 'Noun'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'bize', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bize', 'root': 'biz', 'type': 'Noun'}, {'input': 'bize', 'root': 'Bize', 'type': 'Noun'}]"
