original_line,processed
Gayr dem nedür seyr-i gülistân etdüğün,"[{'input': 'Gayr', 'root': 'gayr', 'type': 'Noun'}, {'input': 'dem', 'root': 'de', 'type': 'Noun'}, {'input': 'dem', 'root': 'dem', 'type': 'Noun'}, {'input': 'gülistân', 'root': 'gülistan', 'type': 'Noun'}]"
Bezm urup halvet kılup yüz lutf u ihsan etdüğün,"[{'input': 'Bezm', 'root': 'bezm', 'type': 'Noun'}, {'input': 'urup', 'root': 'urup', 'type': 'Noun'}, {'input': 'halvet', 'root': 'halvet', 'type': 'Noun'}, {'input': 'yüz', 'root': 'yüz', 'type': 'Numeral'}, {'input': 'yüz', 'root': 'yüzmek', 'type': 'Verb'}, {'input': 'yüz', 'root': 'yüz', 'type': 'Noun'}, {'input': 'u', 'root': 'U', 'type': 'Noun'}, {'input': 'ihsan', 'root': 'ihsan', 'type': 'Noun'}]"
Ahd bünyâdın mürüvvetdür virân etdüğün,"[{'input': 'virân', 'root': 'viran', 'type': 'Adjective'}]"
Kanı ey zâlim bizümle ahd u peymân etdüğün,"[{'input': 'Kanı', 'root': 'kan', 'type': 'Noun'}, {'input': 'Kanı', 'root': 'kan', 'type': 'Noun'}, {'input': 'Kanı', 'root': 'kanı', 'type': 'Noun'}, {'input': 'ey', 'root': 'ey', 'type': 'Interjection'}, {'input': 'zâlim', 'root': 'zalim', 'type': 'Adjective'}, {'input': 'u', 'root': 'U', 'type': 'Noun'}, {'input': 'peymân', 'root': 'Peyma', 'type': 'Noun'}, {'input': 'peymân', 'root': 'Peyman', 'type': 'Noun'}]"
Kırgınlık,"[{'input': 'Kırgınlık', 'root': 'kırgın', 'type': 'Adjective'}, {'input': 'Kırgınlık', 'root': 'kırgın', 'type': 'Noun'}]"
Sanki his,"[{'input': 'Sanki', 'root': 'sanki', 'type': 'Adverb'}, {'input': 'his', 'root': 'his', 'type': 'Noun'}]"
Hiç hiç,"[{'input': 'Hiç', 'root': 'hiç', 'type': 'Adverb'}, {'input': 'Hiç', 'root': 'hiç', 'type': 'Noun'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Adverb'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Noun'}]"
Yaşamamış gibiyim.,"[{'input': 'Yaşamamış', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'Yaşamamış', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'gibiyim', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibiyim', 'root': 'gibi', 'type': 'PostPositive'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Kırgınlık,"[{'input': 'Kırgınlık', 'root': 'kırgın', 'type': 'Adjective'}, {'input': 'Kırgınlık', 'root': 'kırgın', 'type': 'Noun'}]"
Beyoğlunda ara sokakta,"[{'input': 'Beyoğlunda', 'root': 'Beyoğlu', 'type': 'Noun'}, {'input': 'ara', 'root': 'ara', 'type': 'Adjective'}, {'input': 'ara', 'root': 'aramak', 'type': 'Verb'}, {'input': 'ara', 'root': 'Ar', 'type': 'Noun'}, {'input': 'ara', 'root': 'ar', 'type': 'Noun'}, {'input': 'ara', 'root': 'ara', 'type': 'Noun'}, {'input': 'sokakta', 'root': 'sokak', 'type': 'Noun'}, {'input': 'sokakta', 'root': 'Sokak', 'type': 'Noun'}]"
Yapıldığı yıllarda muhteşem,"[{'input': 'Yapıldığı', 'root': 'yapmak', 'type': 'Verb'}, {'input': 'Yapıldığı', 'root': 'yapmak', 'type': 'Verb'}, {'input': 'Yapıldığı', 'root': 'yapmak', 'type': 'Verb'}, {'input': 'yıllarda', 'root': 'yıl', 'type': 'Noun'}, {'input': 'muhteşem', 'root': 'muhteşem', 'type': 'Adjective'}, {'input': 'muhteşem', 'root': 'Muhteşem', 'type': 'Noun'}]"
Şimdi küf soğan kokan,"[{'input': 'Şimdi', 'root': 'şimdi', 'type': 'Adverb'}, {'input': 'Şimdi', 'root': 'şimdi', 'type': 'Noun'}, {'input': 'küf', 'root': 'küf', 'type': 'Noun'}, {'input': 'soğan', 'root': 'soğan', 'type': 'Noun'}, {'input': 'kokan', 'root': 'kokmak', 'type': 'Verb'}, {'input': 'kokan', 'root': 'koka', 'type': 'Noun'}]"
bina,"[{'input': 'bina', 'root': 'bina', 'type': 'Noun'}]"
Kime sitem etsem veya yakınsam,"[{'input': 'Kime', 'root': 'kim', 'type': 'Pronoun'}, {'input': 'sitem', 'root': 'site', 'type': 'Noun'}, {'input': 'sitem', 'root': 'sitem', 'type': 'Noun'}, {'input': 'etsem', 'root': 'etmek', 'type': 'Verb'}, {'input': 'etsem', 'root': 'et', 'type': 'Noun'}, {'input': 'veya', 'root': 'veya', 'type': 'Conjunction'}, {'input': 'yakınsam', 'root': 'yakınmak', 'type': 'Verb'}, {'input': 'yakınsam', 'root': 'yakın', 'type': 'Adjective'}, {'input': 'yakınsam', 'root': 'yak', 'type': 'Noun'}, {'input': 'yakınsam', 'root': 'yak', 'type': 'Noun'}, {'input': 'yakınsam', 'root': 'yakı', 'type': 'Noun'}, {'input': 'yakınsam', 'root': 'yakın', 'type': 'Noun'}]"
Bütünü sana,"[{'input': 'Bütünü', 'root': 'bütün', 'type': 'Noun'}, {'input': 'Bütünü', 'root': 'bütün', 'type': 'Noun'}, {'input': 'Bütünü', 'root': 'bütün', 'type': 'Adjective'}, {'input': 'Bütünü', 'root': 'bütün', 'type': 'Adjective'}, {'input': 'sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sana', 'root': 'san', 'type': 'Noun'}, {'input': 'sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'sana', 'root': 'Sana', 'type': 'Noun'}]"
yol tutturup kendiliğinden,"[{'input': 'yol', 'root': 'yolmak', 'type': 'Verb'}, {'input': 'yol', 'root': 'yol', 'type': 'Noun'}, {'input': 'tutturup', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'kendiliğinden', 'root': 'kendiliğinden', 'type': 'Adjective'}, {'input': 'kendiliğinden', 'root': 'kendiliğinden', 'type': 'Adverb'}]"
Hepsi sana yöneliyor,"[{'input': 'Hepsi', 'root': 'hepsi', 'type': 'Pronoun'}, {'input': 'sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sana', 'root': 'san', 'type': 'Noun'}, {'input': 'sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'yöneliyor', 'root': 'yönelmek', 'type': 'Verb'}]"
Bedenim,"[{'input': 'Bedenim', 'root': 'beden', 'type': 'Noun'}, {'input': 'Bedenim', 'root': 'bedenî', 'type': 'Adjective'}, {'input': 'Bedenim', 'root': 'Be', 'type': 'Noun'}, {'input': 'Bedenim', 'root': 'beden', 'type': 'Noun'}]"
