original_line,processed
Yürün aslanlarım savaş edelim,"[{'input': 'Yürün', 'root': 'yürünmek', 'type': 'Verb'}, {'input': 'Yürün', 'root': 'yürümek', 'type': 'Verb'}, {'input': 'aslanlarım', 'root': 'aslan', 'type': 'Noun'}, {'input': 'aslanlarım', 'root': 'Aslan', 'type': 'Noun'}, {'input': 'aslanlarım', 'root': 'aslan', 'type': 'Noun'}, {'input': 'aslanlarım', 'root': 'Aslan', 'type': 'Noun'}, {'input': 'savaş', 'root': 'savaş', 'type': 'Noun'}, {'input': 'savaş', 'root': 'savaşmak', 'type': 'Verb'}, {'input': 'edelim', 'root': 'etmek', 'type': 'Verb'}, {'input': 'edelim', 'root': 'ede', 'type': 'Noun'}]"
Buna kavga derler bey paşa,"[{'input': 'Buna', 'root': 'bunamak', 'type': 'Verb'}, {'input': 'Buna', 'root': 'bu', 'type': 'Pronoun'}, {'input': 'Buna', 'root': 'bun', 'type': 'Noun'}, {'input': 'kavga', 'root': 'kavga', 'type': 'Noun'}, {'input': 'derler', 'root': 'demek', 'type': 'Verb'}, {'input': 'derler', 'root': 'derlemek', 'type': 'Verb'}, {'input': 'derler', 'root': 'derlemek', 'type': 'Verb'}, {'input': 'bey', 'root': 'bey', 'type': 'Noun'}, {'input': 'paşa', 'root': 'paşa', 'type': 'Adjective'}, {'input': 'paşa', 'root': 'paşa', 'type': 'Noun'}]"
Haykırıp haykırıp kelle keselim,"[{'input': 'Haykırıp', 'root': 'haykırmak', 'type': 'Verb'}, {'input': 'haykırıp', 'root': 'haykırmak', 'type': 'Verb'}, {'input': 'kelle', 'root': 'kelle', 'type': 'Noun'}, {'input': 'kelle', 'root': 'kel', 'type': 'Adjective'}, {'input': 'keselim', 'root': 'kesmek', 'type': 'Verb'}, {'input': 'keselim', 'root': 'kesel', 'type': 'Noun'}, {'input': 'keselim', 'root': 'kesel', 'type': 'Noun'}, {'input': 'keselim', 'root': 'kese', 'type': 'Noun'}, {'input': 'keselim', 'root': 'kese', 'type': 'Adjective'}]"
Seyreyleyin eli ayağı şaşana,"[{'input': 'Seyreyleyin', 'root': 'seyreylemek', 'type': 'Verb'}, {'input': 'eli', 'root': 'el', 'type': 'Noun'}, {'input': 'eli', 'root': 'el', 'type': 'Noun'}, {'input': 'ayağı', 'root': 'Ayağ', 'type': 'Noun'}, {'input': 'ayağı', 'root': 'Ayağ', 'type': 'Noun'}, {'input': 'ayağı', 'root': 'ayak', 'type': 'Noun'}, {'input': 'ayağı', 'root': 'ayak', 'type': 'Noun'}, {'input': 'şaşana', 'root': 'şaşmak', 'type': 'Verb'}]"
Yürü beyler cenge harbi çalınır,"[{'input': 'Yürü', 'root': 'yürümek', 'type': 'Verb'}, {'input': 'beyler', 'root': 'bey', 'type': 'Noun'}, {'input': 'beyler', 'root': 'bey', 'type': 'Noun'}, {'input': 'cenge', 'root': 'cenk', 'type': 'Noun'}, {'input': 'harbi', 'root': 'harbî', 'type': 'Adjective'}, {'input': 'harbi', 'root': 'harbi', 'type': 'Adjective'}, {'input': 'harbi', 'root': 'harp', 'type': 'Noun'}, {'input': 'harbi', 'root': 'harp', 'type': 'Noun'}, {'input': 'harbi', 'root': 'harbî', 'type': 'Noun'}, {'input': 'harbi', 'root': 'harbi', 'type': 'Noun'}, {'input': 'çalınır', 'root': 'çalmak', 'type': 'Verb'}, {'input': 'çalınır', 'root': 'çalmak', 'type': 'Verb'}]"
İyi kötü meydanda bilinir,"[{'input': 'İyi', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'İyi', 'root': 'iyi', 'type': 'Adverb'}, {'input': 'İyi', 'root': 'iyi', 'type': 'Noun'}, {'input': 'kötü', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'kötü', 'root': 'kötü', 'type': 'Adverb'}, {'input': 'meydanda', 'root': 'meydanda', 'type': 'Adjective'}, {'input': 'meydanda', 'root': 'meydan', 'type': 'Noun'}, {'input': 'bilinir', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'bilinir', 'root': 'bilmek', 'type': 'Verb'}]"
Kılıç değer adam iki bölünür,"[{'input': 'Kılıç', 'root': 'kılıç', 'type': 'Noun'}, {'input': 'Kılıç', 'root': 'Kılıç', 'type': 'Noun'}, {'input': 'değer', 'root': 'değmek', 'type': 'Verb'}, {'input': 'değer', 'root': 'değmek', 'type': 'Verb'}, {'input': 'değer', 'root': 'Değer', 'type': 'Noun'}, {'input': 'değer', 'root': 'değer', 'type': 'Noun'}, {'input': 'adam', 'root': 'ada', 'type': 'Noun'}, {'input': 'adam', 'root': 'adam', 'type': 'Noun'}, {'input': 'iki', 'root': 'iki', 'type': 'Numeral'}, {'input': 'bölünür', 'root': 'bölmek', 'type': 'Verb'}, {'input': 'bölünür', 'root': 'bölmek', 'type': 'Verb'}]"
Nusret bizim beyler neci paşa,"[{'input': 'Nusret', 'root': 'Nusret', 'type': 'Noun'}, {'input': 'bizim', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'bizim', 'root': 'biz', 'type': 'Noun'}, {'input': 'bizim', 'root': 'biz', 'type': 'Noun'}, {'input': 'beyler', 'root': 'bey', 'type': 'Noun'}, {'input': 'beyler', 'root': 'bey', 'type': 'Noun'}, {'input': 'neci', 'root': 'neci', 'type': 'Noun'}, {'input': 'neci', 'root': 'ne', 'type': 'Adjective'}, {'input': 'neci', 'root': 'Ne', 'type': 'Noun'}, {'input': 'neci', 'root': 'ne', 'type': 'Noun'}, {'input': 'paşa', 'root': 'paşa', 'type': 'Adjective'}, {'input': 'paşa', 'root': 'paşa', 'type': 'Noun'}]"
Gürzün kösteğini kola takmalı,"[{'input': 'Gürzün', 'root': 'gürz', 'type': 'Noun'}, {'input': 'Gürzün', 'root': 'gürz', 'type': 'Noun'}, {'input': 'kösteğini', 'root': 'köstek', 'type': 'Noun'}, {'input': 'kösteğini', 'root': 'köstek', 'type': 'Noun'}, {'input': 'kola', 'root': 'kol', 'type': 'Noun'}, {'input': 'kola', 'root': 'kola', 'type': 'Noun'}, {'input': 'takmalı', 'root': 'takmak', 'type': 'Verb'}, {'input': 'takmalı', 'root': 'takmak', 'type': 'Verb'}]"
Arap atı sağa sola yıkmalı,"[{'input': 'Arap', 'root': 'Arap', 'type': 'Adjective'}, {'input': 'Arap', 'root': 'arap', 'type': 'Adjective'}, {'input': 'Arap', 'root': 'Arap', 'type': 'Noun'}, {'input': 'Arap', 'root': 'arap', 'type': 'Noun'}, {'input': 'atı', 'root': 'At', 'type': 'Noun'}, {'input': 'atı', 'root': 'At', 'type': 'Noun'}, {'input': 'atı', 'root': 'at', 'type': 'Noun'}, {'input': 'atı', 'root': 'at', 'type': 'Noun'}, {'input': 'sağa', 'root': 'sağmak', 'type': 'Verb'}, {'input': 'sağa', 'root': 'sağ', 'type': 'Noun'}, {'input': 'sağa', 'root': 'sağ', 'type': 'Adjective'}, {'input': 'sola', 'root': 'solmak', 'type': 'Verb'}, {'input': 'sola', 'root': 'sol', 'type': 'Noun'}, {'input': 'sola', 'root': 'sol', 'type': 'Adjective'}, {'input': 'yıkmalı', 'root': 'yıkmak', 'type': 'Verb'}, {'input': 'yıkmalı', 'root': 'yıkmak', 'type': 'Verb'}]"
