original_line,processed
"şey, şey tek müjdede;","[{'input': 'şey', 'root': 'şey', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'şey', 'root': 'şey', 'type': 'Noun'}, {'input': 'tek', 'root': 'tek', 'type': 'Adverb'}, {'input': 'tek', 'root': 'tek', 'type': 'Adjective'}, {'input': 'tek', 'root': 'tek', 'type': 'Noun'}, {'input': 'müjdede', 'root': 'müjde', 'type': 'Noun'}, {'input': 'müjdede', 'root': 'Müjde', 'type': 'Noun'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
"Yoktur ölüm, Allah diyene","[{'input': 'Yoktur', 'root': 'yok', 'type': 'Adjective'}, {'input': 'Yoktur', 'root': 'yok', 'type': 'Adjective'}, {'input': 'Yoktur', 'root': 'yok', 'type': 'Noun'}, {'input': 'ölüm', 'root': 'ölüm', 'type': 'Interjection'}, {'input': 'ölüm', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölüm', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölüm', 'root': 'ölü', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'Allah', 'root': 'Allah', 'type': 'Noun'}, {'input': 'diyene', 'root': 'demek', 'type': 'Verb'}]"
"Canım kurban, başı secdede,","[{'input': 'Canım', 'root': 'Can', 'type': 'Noun'}, {'input': 'Canım', 'root': 'can', 'type': 'Noun'}, {'input': 'Canım', 'root': 'can', 'type': 'Adjective'}, {'input': 'Canım', 'root': 'can', 'type': 'Adjective'}, {'input': 'Canım', 'root': 'Can', 'type': 'Noun'}, {'input': 'Canım', 'root': 'can', 'type': 'Noun'}, {'input': 'kurban', 'root': 'kurban', 'type': 'Interjection'}, {'input': 'kurban', 'root': 'kurban', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'başı', 'root': 'baş', 'type': 'Noun'}, {'input': 'başı', 'root': 'baş', 'type': 'Noun'}, {'input': 'secdede', 'root': 'secde', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"İki büklüm, Allah diyene","[{'input': 'İki', 'root': 'iki', 'type': 'Numeral'}, {'input': 'büklüm', 'root': 'büklüm', 'type': 'Noun'}, {'input': 'büklüm', 'root': 'bük', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'Allah', 'root': 'Allah', 'type': 'Noun'}, {'input': 'diyene', 'root': 'demek', 'type': 'Verb'}]"
"Akıl, kırık kanadı hiçin;","[{'input': 'Akıl', 'root': 'akıl', 'type': 'Noun'}, {'input': 'Akıl', 'root': 'akmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kırık', 'root': 'kırık', 'type': 'Adjective'}, {'input': 'kırık', 'root': 'kırık', 'type': 'Noun'}, {'input': 'kanadı', 'root': 'kanamak', 'type': 'Verb'}, {'input': 'kanadı', 'root': 'kanat', 'type': 'Noun'}, {'input': 'kanadı', 'root': 'kanat', 'type': 'Noun'}, {'input': 'hiçin', 'root': 'hiç', 'type': 'Noun'}, {'input': 'hiçin', 'root': 'hiç', 'type': 'Noun'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
Derdi gücü 'nasıl' 'niçin'...,"[{'input': 'Derdi', 'root': 'dermek', 'type': 'Verb'}, {'input': 'Derdi', 'root': 'demek', 'type': 'Verb'}, {'input': 'Derdi', 'root': 'dert', 'type': 'Noun'}, {'input': 'Derdi', 'root': 'dert', 'type': 'Noun'}, {'input': 'gücü', 'root': 'güç', 'type': 'Noun'}, {'input': 'gücü', 'root': 'güç', 'type': 'Noun'}, {'input': 'gücü', 'root': 'Gü', 'type': 'Noun'}, {'input': 'nasıl', 'root': 'nasıl', 'type': 'Adjective'}, {'input': 'nasıl', 'root': 'nasıl', 'type': 'Adverb'}, {'input': 'niçin', 'root': 'niçin', 'type': 'Adverb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
"Bağlı, perçin üstüne perçin,","[{'input': 'Bağlı', 'root': 'bağ', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'perçin', 'root': 'Perçi', 'type': 'Noun'}, {'input': 'perçin', 'root': 'perçin', 'type': 'Noun'}, {'input': 'üstüne', 'root': 'üstüne', 'type': 'Adverb'}, {'input': 'üstüne', 'root': 'üst', 'type': 'Noun'}, {'input': 'üstüne', 'root': 'üst', 'type': 'Noun'}, {'input': 'üstüne', 'root': 'Üstün', 'type': 'Noun'}, {'input': 'üstüne', 'root': 'üstün', 'type': 'Noun'}, {'input': 'üstüne', 'root': 'üst', 'type': 'Adjective'}, {'input': 'üstüne', 'root': 'üst', 'type': 'Adjective'}, {'input': 'üstüne', 'root': 'üstün', 'type': 'Adjective'}, {'input': 'perçin', 'root': 'Perçi', 'type': 'Noun'}, {'input': 'perçin', 'root': 'perçin', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Benim gönlüm Allah diyene...,"[{'input': 'Benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'gönlüm', 'root': 'gönül', 'type': 'Noun'}, {'input': 'gönlüm', 'root': 'gönül', 'type': 'Noun'}, {'input': 'gönlüm', 'root': 'gön', 'type': 'Noun'}, {'input': 'Allah', 'root': 'Allah', 'type': 'Noun'}, {'input': 'diyene', 'root': 'demek', 'type': 'Verb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
Be sevdiğim seni benden ayıran,"[{'input': 'Be', 'root': 'be', 'type': 'Interjection'}, {'input': 'Be', 'root': 'Be', 'type': 'Noun'}, {'input': 'sevdiğim', 'root': 'sevmek', 'type': 'Verb'}, {'input': 'sevdiğim', 'root': 'sevmek', 'type': 'Verb'}, {'input': 'seni', 'root': 'se', 'type': 'Noun'}, {'input': 'seni', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'benden', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benden', 'root': 'ben', 'type': 'Noun'}, {'input': 'benden', 'root': 'Bende', 'type': 'Noun'}, {'input': 'ayıran', 'root': 'ayırmak', 'type': 'Verb'}]"
Din iman bulmaya diyelim Allah,"[{'input': 'Din', 'root': 'dinmek', 'type': 'Verb'}, {'input': 'Din', 'root': 'din', 'type': 'Noun'}, {'input': 'iman', 'root': 'ima', 'type': 'Noun'}, {'input': 'iman', 'root': 'iman', 'type': 'Noun'}, {'input': 'bulmaya', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'bulmaya', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'diyelim', 'root': 'demek', 'type': 'Verb'}, {'input': 'Allah', 'root': 'Allah', 'type': 'Noun'}]"
