original_line,processed
beynindeki ağları kalbime örmeyeceksin,"[{'input': 'beynindeki', 'root': 'beyin', 'type': 'Noun'}, {'input': 'beynindeki', 'root': 'beyin', 'type': 'Noun'}, {'input': 'ağları', 'root': 'ağ', 'type': 'Noun'}, {'input': 'ağları', 'root': 'ağ', 'type': 'Noun'}, {'input': 'ağları', 'root': 'ağ', 'type': 'Noun'}, {'input': 'ağları', 'root': 'ağ', 'type': 'Noun'}, {'input': 'kalbime', 'root': 'kalp', 'type': 'Noun'}, {'input': 'kalbime', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'örmeyeceksin', 'root': 'örmek', 'type': 'Verb'}]"
sevgi dolu yalanlarını söylemeyeceksin,"[{'input': 'sevgi', 'root': 'sevgi', 'type': 'Noun'}, {'input': 'dolu', 'root': 'dolu', 'type': 'Adjective'}, {'input': 'dolu', 'root': 'dolu', 'type': 'Noun'}, {'input': 'dolu', 'root': 'do', 'type': 'Noun'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Noun'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Noun'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Noun'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Noun'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Adjective'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Adjective'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Adjective'}, {'input': 'yalanlarını', 'root': 'yalan', 'type': 'Adjective'}, {'input': 'söylemeyeceksin', 'root': 'söylemek', 'type': 'Verb'}]"
sevgim öyle çöktü altında ezileceksin,"[{'input': 'sevgim', 'root': 'sevgi', 'type': 'Noun'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Interjection'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Adjective'}, {'input': 'öyle', 'root': 'öyle', 'type': 'Adverb'}, {'input': 'öyle', 'root': 'Ö', 'type': 'Noun'}, {'input': 'çöktü', 'root': 'çökmek', 'type': 'Verb'}, {'input': 'altında', 'root': 'alt', 'type': 'Noun'}, {'input': 'altında', 'root': 'alt', 'type': 'Noun'}, {'input': 'altında', 'root': 'altın', 'type': 'Noun'}, {'input': 'altında', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altında', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altında', 'root': 'altı', 'type': 'Numeral'}, {'input': 'altında', 'root': 'altın', 'type': 'Adjective'}, {'input': 'ezileceksin', 'root': 'ezmek', 'type': 'Verb'}]"
artık benim nefretim değilsin,"[{'input': 'artık', 'root': 'artık', 'type': 'Adjective'}, {'input': 'artık', 'root': 'artık', 'type': 'Adverb'}, {'input': 'artık', 'root': 'artık', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'nefretim', 'root': 'nefret', 'type': 'Noun'}, {'input': 'nefretim', 'root': 'nefret', 'type': 'Noun'}, {'input': 'değilsin', 'root': 'değil', 'type': 'Verb'}, {'input': 'değilsin', 'root': 'değmek', 'type': 'Verb'}]"
duygu duygu,"[{'input': 'duygu', 'root': 'duygu', 'type': 'Noun'}, {'input': 'duygu', 'root': 'Duygu', 'type': 'Noun'}, {'input': 'duygu', 'root': 'duygu', 'type': 'Noun'}, {'input': 'duygu', 'root': 'Duygu', 'type': 'Noun'}]"
düş değil gerçek değil,"[{'input': 'düş', 'root': 'düşmek', 'type': 'Verb'}, {'input': 'düş', 'root': 'düş', 'type': 'Noun'}, {'input': 'değil', 'root': 'değil', 'type': 'Conjunction'}, {'input': 'değil', 'root': 'değil', 'type': 'Verb'}, {'input': 'değil', 'root': 'değmek', 'type': 'Verb'}, {'input': 'gerçek', 'root': 'gerçek', 'type': 'Adjective'}, {'input': 'gerçek', 'root': 'Gerçek', 'type': 'Noun'}, {'input': 'gerçek', 'root': 'gerçek', 'type': 'Noun'}, {'input': 'değil', 'root': 'değil', 'type': 'Conjunction'}, {'input': 'değil', 'root': 'değil', 'type': 'Verb'}, {'input': 'değil', 'root': 'değmek', 'type': 'Verb'}]"
duygu duygu,"[{'input': 'duygu', 'root': 'duygu', 'type': 'Noun'}, {'input': 'duygu', 'root': 'Duygu', 'type': 'Noun'}, {'input': 'duygu', 'root': 'duygu', 'type': 'Noun'}, {'input': 'duygu', 'root': 'Duygu', 'type': 'Noun'}]"
aşk değil nefret değil,"[{'input': 'aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': 'değil', 'root': 'değil', 'type': 'Conjunction'}, {'input': 'değil', 'root': 'değil', 'type': 'Verb'}, {'input': 'değil', 'root': 'değmek', 'type': 'Verb'}, {'input': 'nefret', 'root': 'nefret', 'type': 'Noun'}, {'input': 'değil', 'root': 'değil', 'type': 'Conjunction'}, {'input': 'değil', 'root': 'değil', 'type': 'Verb'}, {'input': 'değil', 'root': 'değmek', 'type': 'Verb'}]"
benim artık,"[{'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'artık', 'root': 'artık', 'type': 'Adjective'}, {'input': 'artık', 'root': 'artık', 'type': 'Adverb'}, {'input': 'artık', 'root': 'artık', 'type': 'Noun'}]"
koskoca boşluksun,"[{'input': 'koskoca', 'root': 'koskoca', 'type': 'Adjective'}, {'input': 'boşluksun', 'root': 'boşluk', 'type': 'Noun'}, {'input': 'boşluksun', 'root': 'boş', 'type': 'Adjective'}]"
