original_line,processed
türkiye kördüğüm,"[{'input': 'türkiye', 'root': 'Türki', 'type': 'Noun'}, {'input': 'türkiye', 'root': 'Türkiye', 'type': 'Noun'}, {'input': 'türkiye', 'root': 'Türki', 'type': 'Adjective'}, {'input': 'kördüğüm', 'root': 'kördüğüm', 'type': 'Noun'}]"
ipi sıradağlardan,"[{'input': 'ipi', 'root': 'ip', 'type': 'Noun'}, {'input': 'ipi', 'root': 'ip', 'type': 'Noun'}, {'input': 'sıradağlardan', 'root': 'sıradağ', 'type': 'Noun'}]"
iki kıtayı bağlar,"[{'input': 'iki', 'root': 'iki', 'type': 'Numeral'}, {'input': 'kıtayı', 'root': 'kıta', 'type': 'Noun'}, {'input': 'bağlar', 'root': 'bağlamak', 'type': 'Verb'}, {'input': 'bağlar', 'root': 'bağlamak', 'type': 'Verb'}, {'input': 'bağlar', 'root': 'bağ', 'type': 'Noun'}, {'input': 'bağlar', 'root': 'bağ', 'type': 'Noun'}]"
sımsıkı ulortadan,"[{'input': 'sımsıkı', 'root': 'sımsıkı', 'type': 'Adjective'}, {'input': 'sımsıkı', 'root': 'sımsıkı', 'type': 'Adverb'}]"
hiçbir kılıç kesemez,"[{'input': 'hiçbir', 'root': 'hiçbir', 'type': 'Determiner'}, {'input': 'kılıç', 'root': 'kılıç', 'type': 'Noun'}, {'input': 'kılıç', 'root': 'Kılıç', 'type': 'Noun'}, {'input': 'kesemez', 'root': 'kesmek', 'type': 'Verb'}, {'input': 'kesemez', 'root': 'kesmek', 'type': 'Verb'}]"
tarihi düğümü,"[{'input': 'tarihi', 'root': 'tarihî', 'type': 'Adjective'}, {'input': 'tarihi', 'root': 'tarih', 'type': 'Noun'}, {'input': 'tarihi', 'root': 'tarih', 'type': 'Noun'}, {'input': 'düğümü', 'root': 'düğü', 'type': 'Noun'}, {'input': 'düğümü', 'root': 'düğüm', 'type': 'Noun'}, {'input': 'düğümü', 'root': 'düğüm', 'type': 'Noun'}]"
birbirine karışmış,"[{'input': 'birbirine', 'root': 'birbiri', 'type': 'Pronoun'}, {'input': 'karışmış', 'root': 'karışmak', 'type': 'Verb'}, {'input': 'karışmış', 'root': 'karışmak', 'type': 'Verb'}, {'input': 'karışmış', 'root': 'karış', 'type': 'Noun'}, {'input': 'karışmış', 'root': 'karmak', 'type': 'Verb'}]"
büyülü gizini,"[{'input': 'büyülü', 'root': 'büyü', 'type': 'Noun'}, {'input': 'gizini', 'root': 'giz', 'type': 'Noun'}, {'input': 'gizini', 'root': 'giz', 'type': 'Noun'}]"
türkiye kördüğüm,"[{'input': 'türkiye', 'root': 'Türki', 'type': 'Noun'}, {'input': 'türkiye', 'root': 'Türkiye', 'type': 'Noun'}, {'input': 'türkiye', 'root': 'Türki', 'type': 'Adjective'}, {'input': 'kördüğüm', 'root': 'kördüğüm', 'type': 'Noun'}]"
sarmalanmış dağlarca,"[{'input': 'sarmalanmış', 'root': 'sarma', 'type': 'Adjective'}, {'input': 'sarmalanmış', 'root': 'sarma', 'type': 'Adjective'}, {'input': 'sarmalanmış', 'root': 'sarmalamak', 'type': 'Verb'}, {'input': 'sarmalanmış', 'root': 'sarmalamak', 'type': 'Verb'}, {'input': 'sarmalanmış', 'root': 'sarma', 'type': 'Noun'}, {'input': 'sarmalanmış', 'root': 'sarma', 'type': 'Noun'}, {'input': 'dağlarca', 'root': 'dağ', 'type': 'Noun'}, {'input': 'dağlarca', 'root': 'Dağlarca', 'type': 'Noun'}]"
