original_line,processed
Suç,"[{'input': 'Suç', 'root': 'suç', 'type': 'Noun'}]"
büyüyünce,"[{'input': 'büyüyünce', 'root': 'büyümek', 'type': 'Verb'}]"
şiir,"[{'input': 'şiir', 'root': 'şiir', 'type': 'Noun'}]"
Saçların,"[{'input': 'Saçların', 'root': 'saç', 'type': 'Noun'}, {'input': 'Saçların', 'root': 'saç', 'type': 'Noun'}]"
çözülünce,"[{'input': 'çözülünce', 'root': 'çözmek', 'type': 'Verb'}]"
ihanet olur,"[{'input': 'ihanet', 'root': 'ihanet', 'type': 'Noun'}, {'input': 'olur', 'root': 'olur', 'type': 'Adjective'}, {'input': 'olur', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olur', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olur', 'root': 'olur', 'type': 'Noun'}, {'input': 'olur', 'root': 'Olur', 'type': 'Noun'}]"
tutamam kendimi....cinayet olur!,"[{'input': 'tutamam', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'kendimi', 'root': 'kendi', 'type': 'Pronoun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': 'cinayet', 'root': 'cinayet', 'type': 'Noun'}, {'input': 'olur', 'root': 'olur', 'type': 'Adjective'}, {'input': 'olur', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olur', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olur', 'root': 'olur', 'type': 'Noun'}, {'input': 'olur', 'root': 'Olur', 'type': 'Noun'}, {'input': '!', 'root': '!', 'type': 'Punctuation'}]"
Kükremiş sel oluruz,"[{'input': 'Kükremiş', 'root': 'kükremek', 'type': 'Verb'}, {'input': 'Kükremiş', 'root': 'kükremek', 'type': 'Verb'}, {'input': 'sel', 'root': 'sel', 'type': 'Noun'}, {'input': 'oluruz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'oluruz', 'root': 'olur', 'type': 'Adjective'}, {'input': 'oluruz', 'root': 'olur', 'type': 'Noun'}, {'input': 'oluruz', 'root': 'Olur', 'type': 'Noun'}]"
Söner ihanet...,"[{'input': 'Söner', 'root': 'sönmek', 'type': 'Verb'}, {'input': 'Söner', 'root': 'sönmek', 'type': 'Verb'}, {'input': 'ihanet', 'root': 'ihanet', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
Ey şehit oğlu ey yiğit,"[{'input': 'Ey', 'root': 'ey', 'type': 'Interjection'}, {'input': 'şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'oğlu', 'root': 'oğul', 'type': 'Noun'}, {'input': 'oğlu', 'root': 'oğul', 'type': 'Noun'}, {'input': 'ey', 'root': 'ey', 'type': 'Interjection'}, {'input': 'yiğit', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğit', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğit', 'root': 'yiğit', 'type': 'Noun'}]"
Hainlere verme eman,"[{'input': 'Hainlere', 'root': 'hain', 'type': 'Adjective'}, {'input': 'verme', 'root': 'vermek', 'type': 'Verb'}, {'input': 'verme', 'root': 'vermek', 'type': 'Verb'}, {'input': 'eman', 'root': 'Eman', 'type': 'Noun'}]"
Sönsün ihanet,"[{'input': 'Sönsün', 'root': 'sönmek', 'type': 'Verb'}, {'input': 'ihanet', 'root': 'ihanet', 'type': 'Noun'}]"
çılgın haini affetmeyin,"[{'input': 'çılgın', 'root': 'çılgın', 'type': 'Adjective'}, {'input': 'haini', 'root': 'hain', 'type': 'Adjective'}, {'input': 'haini', 'root': 'hain', 'type': 'Adjective'}, {'input': 'affetmeyin', 'root': 'affetmek', 'type': 'Verb'}]"
Sönsün İhanet yazık cennete...,"[{'input': 'Sönsün', 'root': 'sönmek', 'type': 'Verb'}, {'input': 'İhanet', 'root': 'ihanet', 'type': 'Noun'}, {'input': 'yazık', 'root': 'yazık', 'type': 'Adverb'}, {'input': 'yazık', 'root': 'yazık', 'type': 'Interjection'}, {'input': 'yazık', 'root': 'yazık', 'type': 'Noun'}, {'input': 'cennete', 'root': 'cennet', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
Soysuz dünyada bayrağı vatan bilendir,"[{'input': 'Soysuz', 'root': 'soysuz', 'type': 'Adjective'}, {'input': 'Soysuz', 'root': 'soy', 'type': 'Noun'}, {'input': 'Soysuz', 'root': 'soy', 'type': 'Adjective'}, {'input': 'dünyada', 'root': 'dünyada', 'type': 'Adverb'}, {'input': 'dünyada', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyada', 'root': 'dünya', 'type': 'Noun'}, {'input': 'bayrağı', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayrağı', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'vatan', 'root': 'vatan', 'type': 'Noun'}, {'input': 'bilendir', 'root': 'Bilen', 'type': 'Noun'}, {'input': 'bilendir', 'root': 'bilmek', 'type': 'Verb'}]"
ay-yıldızlı bayrağı vatan bildim,"[{'input': 'bayrağı', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayrağı', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'vatan', 'root': 'vatan', 'type': 'Noun'}, {'input': 'bildim', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'bildim', 'root': 'Bild', 'type': 'Noun'}, {'input': 'bildim', 'root': 'Bild', 'type': 'Noun'}]"
Bayrağa ihanet vatana ihanet,"[{'input': 'Bayrağa', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'ihanet', 'root': 'ihanet', 'type': 'Noun'}, {'input': 'vatana', 'root': 'vatan', 'type': 'Noun'}, {'input': 'ihanet', 'root': 'ihanet', 'type': 'Noun'}]"
Bayrağa ihanet vatana ihanet...,"[{'input': 'Bayrağa', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'ihanet', 'root': 'ihanet', 'type': 'Noun'}, {'input': 'vatana', 'root': 'vatan', 'type': 'Noun'}, {'input': 'ihanet', 'root': 'ihanet', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
Aşk bilmez gül bilmez hain...,"[{'input': 'Aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': 'bilmez', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'bilmez', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'gül', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'gül', 'root': 'gül', 'type': 'Noun'}, {'input': 'bilmez', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'bilmez', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'hain', 'root': 'hain', 'type': 'Interjection'}, {'input': 'hain', 'root': 'hain', 'type': 'Adjective'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
