original_line,processed
"mavi gök, yeşil yaprak, gri su altında","[{'input': 'mavi', 'root': 'mavi', 'type': 'Adjective'}, {'input': 'mavi', 'root': 'mavi', 'type': 'Noun'}, {'input': 'gök', 'root': 'gök', 'type': 'Adjective'}, {'input': 'gök', 'root': 'Gök', 'type': 'Noun'}, {'input': 'gök', 'root': 'gök', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'yeşil', 'root': 'yeşil', 'type': 'Adjective'}, {'input': 'yeşil', 'root': 'yeşil', 'type': 'Noun'}, {'input': 'yaprak', 'root': 'Yaprak', 'type': 'Noun'}, {'input': 'yaprak', 'root': 'yaprak', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'gri', 'root': 'gri', 'type': 'Adjective'}, {'input': 'gri', 'root': 'gri', 'type': 'Noun'}, {'input': 'su', 'root': 'su', 'type': 'Noun'}, {'input': 'altında', 'root': 'alt', 'type': 'Noun'}, {'input': 'altında', 'root': 'alt', 'type': 'Noun'}, {'input': 'altında', 'root': 'altın', 'type': 'Noun'}, {'input': 'altında', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altında', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altında', 'root': 'altı', 'type': 'Numeral'}, {'input': 'altında', 'root': 'altın', 'type': 'Adjective'}]"
Hüzün asla yakışmıyor sana,"[{'input': 'Hüzün', 'root': 'hüzün', 'type': 'Noun'}, {'input': 'asla', 'root': 'asla', 'type': 'Adverb'}, {'input': 'asla', 'root': 'As', 'type': 'Noun'}, {'input': 'asla', 'root': 'as', 'type': 'Noun'}, {'input': 'asla', 'root': 'asıl', 'type': 'Noun'}, {'input': 'asla', 'root': 'as', 'type': 'Adjective'}, {'input': 'yakışmıyor', 'root': 'yakışmak', 'type': 'Verb'}, {'input': 'sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sana', 'root': 'san', 'type': 'Noun'}, {'input': 'sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'sana', 'root': 'Sana', 'type': 'Noun'}]"
Stockholm'de dünyanın yerinde,"[{'input': 'dünyanın', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'dünya', 'type': 'Noun'}, {'input': 'yerinde', 'root': 'yerinde', 'type': 'Adjective'}, {'input': 'yerinde', 'root': 'yerinde', 'type': 'Adverb'}, {'input': 'yerinde', 'root': 'yer', 'type': 'Noun'}, {'input': 'yerinde', 'root': 'yer', 'type': 'Noun'}]"
"Kalbim, ah kalbim tarifsiz alevler içinde","[{'input': 'Kalbim', 'root': 'kalp', 'type': 'Noun'}, {'input': 'Kalbim', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'Kalbim', 'root': 'kalp', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'ah', 'root': 'ah', 'type': 'Interjection'}, {'input': 'ah', 'root': 'ah', 'type': 'Noun'}, {'input': 'kalbim', 'root': 'kalp', 'type': 'Noun'}, {'input': 'kalbim', 'root': 'kalbî', 'type': 'Adjective'}, {'input': 'kalbim', 'root': 'kalp', 'type': 'Noun'}, {'input': 'tarifsiz', 'root': 'tarif', 'type': 'Noun'}, {'input': 'alevler', 'root': 'alevlemek', 'type': 'Verb'}, {'input': 'alevler', 'root': 'alevlemek', 'type': 'Verb'}, {'input': 'alevler', 'root': 'Alev', 'type': 'Noun'}, {'input': 'alevler', 'root': 'alev', 'type': 'Noun'}, {'input': 'alevler', 'root': 'Alev', 'type': 'Noun'}, {'input': 'alevler', 'root': 'alev', 'type': 'Noun'}, {'input': 'içinde', 'root': 'içinde', 'type': 'Adverb'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}]"
İstanbul'da dünyanın yerind....................,"[{'input': 'İstanbul'da', 'root': 'İstanbul', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'dünya', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Ağustos kuşları,"[{'input': 'Ağustos', 'root': 'ağustos', 'type': 'Noun'}, {'input': 'Ağustos', 'root': 'Ağustos', 'type': 'Noun'}, {'input': 'kuşları', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşları', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşları', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşları', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşları', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'kuşları', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'kuşları', 'root': 'kuşlar', 'type': 'Noun'}]"
"Derin, saf, mavi gökyüzünde kara noktalardan oluşmuş kıpırtılı kara yumak helezonlar çizerek dönüyor.","[{'input': 'Derin', 'root': 'derin', 'type': 'Adjective'}, {'input': 'Derin', 'root': 'dermek', 'type': 'Verb'}, {'input': 'Derin', 'root': 'deri', 'type': 'Noun'}, {'input': 'Derin', 'root': 'derin', 'type': 'Noun'}, {'input': 'Derin', 'root': 'deri', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'saf', 'root': 'saf', 'type': 'Adjective'}, {'input': 'saf', 'root': 'saf', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'mavi', 'root': 'mavi', 'type': 'Adjective'}, {'input': 'mavi', 'root': 'mavi', 'type': 'Noun'}, {'input': 'gökyüzünde', 'root': 'gökyüzü', 'type': 'Noun'}, {'input': 'gökyüzünde', 'root': 'gökyüzü', 'type': 'Noun'}, {'input': 'gökyüzünde', 'root': 'gökyüzü', 'type': 'Noun'}, {'input': 'gökyüzünde', 'root': 'Gökyüzü', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Adjective'}, {'input': 'kara', 'root': 'karmak', 'type': 'Verb'}, {'input': 'kara', 'root': 'karamak', 'type': 'Verb'}, {'input': 'kara', 'root': 'kar', 'type': 'Noun'}, {'input': 'kara', 'root': 'kâr', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Noun'}, {'input': 'noktalardan', 'root': 'nokta', 'type': 'Noun'}, {'input': 'oluşmuş', 'root': 'oluşmak', 'type': 'Verb'}, {'input': 'oluşmuş', 'root': 'oluşmak', 'type': 'Verb'}, {'input': 'oluşmuş', 'root': 'olmak', 'type': 'Verb'}, {'input': 'kıpırtılı', 'root': 'kıpırtı', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Adjective'}, {'input': 'kara', 'root': 'karmak', 'type': 'Verb'}, {'input': 'kara', 'root': 'karamak', 'type': 'Verb'}, {'input': 'kara', 'root': 'kar', 'type': 'Noun'}, {'input': 'kara', 'root': 'kâr', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Noun'}, {'input': 'yumak', 'root': 'yumak', 'type': 'Adjective'}, {'input': 'yumak', 'root': 'yumak', 'type': 'Noun'}, {'input': 'yumak', 'root': 'yumak', 'type': 'Verb'}, {'input': 'helezonlar', 'root': 'helezon', 'type': 'Noun'}, {'input': 'helezonlar', 'root': 'helezon', 'type': 'Noun'}, {'input': 'çizerek', 'root': 'çizmek', 'type': 'Verb'}, {'input': 'dönüyor', 'root': 'dönmek', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Onlara bakıyorum.,"[{'input': 'Onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'Onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'Onlara', 'root': 'on', 'type': 'Numeral'}, {'input': 'bakıyorum', 'root': 'bakmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
ucundan katılan kalabalık karışık siyah noktalarla büyüyen yumak diğer ucundan zarif düzenli ok çıkarak maviliğin içlerine doğru uçuyor.,"[{'input': 'ucundan', 'root': 'uç', 'type': 'Noun'}, {'input': 'ucundan', 'root': 'uç', 'type': 'Noun'}, {'input': 'katılan', 'root': 'katılmak', 'type': 'Verb'}, {'input': 'katılan', 'root': 'katmak', 'type': 'Verb'}, {'input': 'katılan', 'root': 'katı', 'type': 'Adjective'}, {'input': 'katılan', 'root': 'katı', 'type': 'Noun'}, {'input': 'kalabalık', 'root': 'kalabalık', 'type': 'Adjective'}, {'input': 'kalabalık', 'root': 'kalabalık', 'type': 'Noun'}, {'input': 'kalabalık', 'root': 'Kalaba', 'type': 'Noun'}, {'input': 'kalabalık', 'root': 'kalaba', 'type': 'Noun'}, {'input': 'karışık', 'root': 'karışık', 'type': 'Adjective'}, {'input': 'siyah', 'root': 'siyah', 'type': 'Adjective'}, {'input': 'siyah', 'root': 'siyah', 'type': 'Noun'}, {'input': 'noktalarla', 'root': 'nokta', 'type': 'Noun'}, {'input': 'büyüyen', 'root': 'büyümek', 'type': 'Verb'}, {'input': 'yumak', 'root': 'yumak', 'type': 'Adjective'}, {'input': 'yumak', 'root': 'yumak', 'type': 'Noun'}, {'input': 'yumak', 'root': 'yumak', 'type': 'Verb'}, {'input': 'diğer', 'root': 'diğer', 'type': 'Adjective'}, {'input': 'ucundan', 'root': 'uç', 'type': 'Noun'}, {'input': 'ucundan', 'root': 'uç', 'type': 'Noun'}, {'input': 'zarif', 'root': 'zarif', 'type': 'Adjective'}, {'input': 'zarif', 'root': 'Zarif', 'type': 'Noun'}, {'input': 'düzenli', 'root': 'düzenli', 'type': 'Adjective'}, {'input': 'düzenli', 'root': 'düzen', 'type': 'Noun'}, {'input': 'düzenli', 'root': 'düzmek', 'type': 'Verb'}, {'input': 'ok', 'root': 'ok', 'type': 'Noun'}, {'input': 'çıkarak', 'root': 'çıkmak', 'type': 'Verb'}, {'input': 'maviliğin', 'root': 'mavi', 'type': 'Adjective'}, {'input': 'maviliğin', 'root': 'mavi', 'type': 'Adjective'}, {'input': 'maviliğin', 'root': 'mavi', 'type': 'Noun'}, {'input': 'maviliğin', 'root': 'mavi', 'type': 'Noun'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Noun'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Noun'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Noun'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Noun'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içlerine', 'root': 'iç', 'type': 'Adjective'}, {'input': 'doğru', 'root': 'doğru', 'type': 'Adjective'}, {'input': 'doğru', 'root': 'doğru', 'type': 'PostPositive'}, {'input': 'doğru', 'root': 'doğru', 'type': 'Noun'}, {'input': 'uçuyor', 'root': 'uçmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Gidiyorlar.,"[{'input': 'Gidiyorlar', 'root': 'gitmek', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Onlara bakıyorum.,"[{'input': 'Onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'Onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'Onlara', 'root': 'on', 'type': 'Numeral'}, {'input': 'bakıyorum', 'root': 'bakmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Garip hüzünle bakıyorum onlara.,"[{'input': 'Garip', 'root': 'garip', 'type': 'Interjection'}, {'input': 'Garip', 'root': 'garip', 'type': 'Adjective'}, {'input': 'Garip', 'root': 'Garip', 'type': 'Noun'}, {'input': 'hüzünle', 'root': 'hüzün', 'type': 'Noun'}, {'input': 'bakıyorum', 'root': 'bakmak', 'type': 'Verb'}, {'input': 'onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'onlara', 'root': 'o', 'type': 'Pronoun'}, {'input': 'onlara', 'root': 'on', 'type': 'Numeral'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
şeyin bittiğini söylüyorlar bana.,"[{'input': 'şeyin', 'root': 'şey', 'type': 'Noun'}, {'input': 'şeyin', 'root': 'şey', 'type': 'Noun'}, {'input': 'bittiğini', 'root': 'bitmek', 'type': 'Verb'}, {'input': 'bittiğini', 'root': 'bitmek', 'type': 'Verb'}, {'input': 'söylüyorlar', 'root': 'söylemek', 'type': 'Verb'}, {'input': 'bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
şeyin başlayacağını da.,"[{'input': 'şeyin', 'root': 'şey', 'type': 'Noun'}, {'input': 'şeyin', 'root': 'şey', 'type': 'Noun'}, {'input': 'başlayacağını', 'root': 'başlamak', 'type': 'Verb'}, {'input': 'başlayacağını', 'root': 'başlamak', 'type': 'Verb'}, {'input': 'da', 'root': 'da', 'type': 'Conjunction'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
gittikten sonra zaman boş kalacak saf mavilik.,"[{'input': 'gittikten', 'root': 'gitmek', 'type': 'Verb'}, {'input': 'sonra', 'root': 'sonra', 'type': 'Adverb'}, {'input': 'sonra', 'root': 'sonra', 'type': 'PostPositive'}, {'input': 'sonra', 'root': 'sonra', 'type': 'Noun'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}, {'input': 'boş', 'root': 'boş', 'type': 'Adjective'}, {'input': 'boş', 'root': 'boş', 'type': 'Adverb'}, {'input': 'kalacak', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalacak', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'saf', 'root': 'saf', 'type': 'Adjective'}, {'input': 'saf', 'root': 'saf', 'type': 'Noun'}, {'input': 'mavilik', 'root': 'mavi', 'type': 'Adjective'}, {'input': 'mavilik', 'root': 'mavi', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
