original_line,processed
Ocaklar yansın dem,"[{'input': 'Ocaklar', 'root': 'Ocak', 'type': 'Noun'}, {'input': 'Ocaklar', 'root': 'ocak', 'type': 'Noun'}, {'input': 'Ocaklar', 'root': 'Ocak', 'type': 'Noun'}, {'input': 'Ocaklar', 'root': 'ocak', 'type': 'Noun'}, {'input': 'yansın', 'root': 'yanmak', 'type': 'Verb'}, {'input': 'yansın', 'root': 'yansı', 'type': 'Noun'}, {'input': 'yansın', 'root': 'yansımak', 'type': 'Verb'}, {'input': 'yansın', 'root': 'yan', 'type': 'Noun'}, {'input': 'dem', 'root': 'de', 'type': 'Noun'}, {'input': 'dem', 'root': 'dem', 'type': 'Noun'}]"
Bacada is olmasın.,"[{'input': 'Bacada', 'root': 'baca', 'type': 'Noun'}, {'input': 'is', 'root': 'is', 'type': 'Noun'}, {'input': 'olmasın', 'root': 'olmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Gökyüzü mavi kalsın,"[{'input': 'Gökyüzü', 'root': 'gökyüzü', 'type': 'Noun'}, {'input': 'Gökyüzü', 'root': 'gökyüzü', 'type': 'Noun'}, {'input': 'Gökyüzü', 'root': 'Gökyüzü', 'type': 'Noun'}, {'input': 'mavi', 'root': 'mavi', 'type': 'Adjective'}, {'input': 'mavi', 'root': 'mavi', 'type': 'Noun'}, {'input': 'kalsın', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalsın', 'root': 'kal', 'type': 'Noun'}]"
Ufukta sis olmasın.,"[{'input': 'Ufukta', 'root': 'Ufuk', 'type': 'Noun'}, {'input': 'Ufukta', 'root': 'ufuk', 'type': 'Noun'}, {'input': 'sis', 'root': 'sis', 'type': 'Noun'}, {'input': 'olmasın', 'root': 'olmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Kötülük yansın yıkılsın,"[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'yansın', 'root': 'yanmak', 'type': 'Verb'}, {'input': 'yansın', 'root': 'yansı', 'type': 'Noun'}, {'input': 'yansın', 'root': 'yansımak', 'type': 'Verb'}, {'input': 'yansın', 'root': 'yan', 'type': 'Noun'}, {'input': 'yıkılsın', 'root': 'yıkmak', 'type': 'Verb'}]"
Lale gül kesilsin dünya,"[{'input': 'Lale', 'root': 'lal', 'type': 'Noun'}, {'input': 'Lale', 'root': 'lale', 'type': 'Noun'}, {'input': 'gül', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'gül', 'root': 'gül', 'type': 'Noun'}, {'input': 'kesilsin', 'root': 'kesmek', 'type': 'Verb'}, {'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}]"
Herşeyde terhis olsun,"[{'input': 'Herşeyde', 'root': 'herşey', 'type': 'Noun'}, {'input': 'terhis', 'root': 'terhis', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
Aşkta terhis olmasın...,"[{'input': 'Aşkta', 'root': 'aşk', 'type': 'Noun'}, {'input': 'terhis', 'root': 'terhis', 'type': 'Noun'}, {'input': 'olmasın', 'root': 'olmak', 'type': 'Verb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
"Kötülük pahalı, iyilik ucuz.","[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'pahalı', 'root': 'pahalı', 'type': 'Adjective'}, {'input': 'pahalı', 'root': 'paha', 'type': 'Noun'}, {'input': 'pahalı', 'root': 'pahal', 'type': 'Adjective'}, {'input': 'pahalı', 'root': 'pahal', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'ucuz', 'root': 'ucuz', 'type': 'Adjective'}, {'input': 'ucuz', 'root': 'uç', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Kötülük kısıtlı, iyilik uçsuz.","[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'kısıtlı', 'root': 'kısıt', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'uçsuz', 'root': 'uç', 'type': 'Noun'}, {'input': 'uçsuz', 'root': 'uç', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Kötülük cezalı, iyilik suçsuz.","[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'cezalı', 'root': 'ceza', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'suçsuz', 'root': 'suçsuz', 'type': 'Adjective'}, {'input': 'suçsuz', 'root': 'suç', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Güvenle, huzurla yaşamak güzel","[{'input': 'Güvenle', 'root': 'güve', 'type': 'Noun'}, {'input': 'Güvenle', 'root': 'güven', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'huzurla', 'root': 'huzur', 'type': 'Noun'}, {'input': 'yaşamak', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adjective'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adverb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Noun'}]"
"İyilik şükürlü, kötülük nankör.","[{'input': 'İyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'İyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'şükürlü', 'root': 'şükür', 'type': 'Noun'}, {'input': 'şükürlü', 'root': 'Şükür', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'nankör', 'root': 'nankör', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"İyilik tutumlu, kötülük bonkör","[{'input': 'İyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'İyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'tutumlu', 'root': 'tutum', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'bonkör', 'root': 'bonkör', 'type': 'Adjective'}]"
"İyilik kalp gözlü, kötülük hep kör","[{'input': 'İyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'İyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'kalp', 'root': 'kalp', 'type': 'Adjective'}, {'input': 'kalp', 'root': 'kalp', 'type': 'Noun'}, {'input': 'kalp', 'root': 'kalp', 'type': 'Noun'}, {'input': 'gözlü', 'root': 'göz', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'kör', 'root': 'kör', 'type': 'Adjective'}]"
"Tefekkür, şükürle yaşamak güzel.","[{'input': 'Tefekkür', 'root': 'tefekkür', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'şükürle', 'root': 'şükür', 'type': 'Noun'}, {'input': 'şükürle', 'root': 'Şükür', 'type': 'Noun'}, {'input': 'yaşamak', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adjective'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adverb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"İyilik tebessüm, kötülük sertlik","[{'input': 'İyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'İyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'tebessüm', 'root': 'Tebessüm', 'type': 'Noun'}, {'input': 'tebessüm', 'root': 'tebessüm', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'sertlik', 'root': 'sertlik', 'type': 'Noun'}, {'input': 'sertlik', 'root': 'sert', 'type': 'Adjective'}]"
İyilik bereket kötülük kıtlık,"[{'input': 'İyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'İyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'bereket', 'root': 'bereket', 'type': 'Adverb'}, {'input': 'bereket', 'root': 'bereket', 'type': 'Noun'}, {'input': 'kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'kıtlık', 'root': 'kıtlık', 'type': 'Noun'}, {'input': 'kıtlık', 'root': 'kıt', 'type': 'Adjective'}]"
"İyilik hoşgörü, kötülük zıtlık","[{'input': 'İyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'İyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'hoşgörü', 'root': 'Hoşgör', 'type': 'Noun'}, {'input': 'hoşgörü', 'root': 'Hoşgör', 'type': 'Noun'}, {'input': 'hoşgörü', 'root': 'hoşgörü', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'zıtlık', 'root': 'zıt', 'type': 'Adjective'}, {'input': 'zıtlık', 'root': 'zıt', 'type': 'Noun'}]"
"Sevgiyle, saygıyla yaşamak güzel","[{'input': 'Sevgiyle', 'root': 'sevgi', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'saygıyla', 'root': 'saygı', 'type': 'Noun'}, {'input': 'yaşamak', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adjective'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adverb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Noun'}]"
"Kötülük tedirgin, iyilik rahat.","[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'tedirgin', 'root': 'tedirgin', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'rahat', 'root': 'rahat', 'type': 'Adverb'}, {'input': 'rahat', 'root': 'rahat', 'type': 'Adjective'}, {'input': 'rahat', 'root': 'rahat', 'type': 'Interjection'}, {'input': 'rahat', 'root': 'rahat', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Kötülük hastalık, iyilik sıhhat.","[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'hastalık', 'root': 'hastalık', 'type': 'Noun'}, {'input': 'hastalık', 'root': 'hasta', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'sıhhat', 'root': 'sıhhat', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Kötülük düşünmez, iyilik dikkat","[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'düşünmez', 'root': 'düşünmek', 'type': 'Verb'}, {'input': 'düşünmez', 'root': 'düşünmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'dikkat', 'root': 'dikkat', 'type': 'Interjection'}, {'input': 'dikkat', 'root': 'dikkat', 'type': 'Noun'}]"
"Tedbirli, sabırlı yaşamak güzel.","[{'input': 'Tedbirli', 'root': 'tedbir', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'sabırlı', 'root': 'sabır', 'type': 'Noun'}, {'input': 'yaşamak', 'root': 'yaşamak', 'type': 'Verb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adjective'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Adverb'}, {'input': 'güzel', 'root': 'güzel', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Kötülük zarardır, iyilik kazanç","[{'input': 'Kötülük', 'root': 'kötülük', 'type': 'Noun'}, {'input': 'Kötülük', 'root': 'kötü', 'type': 'Adjective'}, {'input': 'zarardır', 'root': 'zarar', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Adjective'}, {'input': 'iyilik', 'root': 'iyi', 'type': 'Noun'}, {'input': 'kazanç', 'root': 'kazanç', 'type': 'Noun'}]"
