original_line,processed
"Elım yıktım, boşandı bendim.","[{'input': 'yıktım', 'root': 'yıkmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'boşandı', 'root': 'boşanmak', 'type': 'Verb'}, {'input': 'boşandı', 'root': 'boşamak', 'type': 'Verb'}, {'input': 'bendim', 'root': 'bent', 'type': 'Noun'}, {'input': 'bendim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'bendim', 'root': 'ben', 'type': 'Noun'}, {'input': 'bendim', 'root': 'bent', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Coşkun sular çağlar, gezerim.","[{'input': 'Coşkun', 'root': 'coşkun', 'type': 'Adjective'}, {'input': 'Coşkun', 'root': 'coşku', 'type': 'Noun'}, {'input': 'sular', 'root': 'sulamak', 'type': 'Verb'}, {'input': 'sular', 'root': 'sulamak', 'type': 'Verb'}, {'input': 'sular', 'root': 'su', 'type': 'Noun'}, {'input': 'sular', 'root': 'su', 'type': 'Noun'}, {'input': 'çağlar', 'root': 'çağlamak', 'type': 'Verb'}, {'input': 'çağlar', 'root': 'çağlamak', 'type': 'Verb'}, {'input': 'çağlar', 'root': 'çağ', 'type': 'Noun'}, {'input': 'çağlar', 'root': 'çağlar', 'type': 'Noun'}, {'input': 'çağlar', 'root': 'çağ', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'gezerim', 'root': 'gezmek', 'type': 'Verb'}, {'input': 'gezerim', 'root': 'Gezer', 'type': 'Noun'}, {'input': 'gezerim', 'root': 'Gezer', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Yitirdim kendimi, bulmadım gitti.","[{'input': 'Yitirdim', 'root': 'yitirmek', 'type': 'Verb'}, {'input': 'kendimi', 'root': 'kendi', 'type': 'Pronoun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'bulmadım', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'gitti', 'root': 'gitmek', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Sevdası başımda ağlar, gezerim.","[{'input': 'Sevdası', 'root': 'sevda', 'type': 'Noun'}, {'input': 'Sevdası', 'root': 'Sevda', 'type': 'Noun'}, {'input': 'başımda', 'root': 'baş', 'type': 'Noun'}, {'input': 'ağlar', 'root': 'ağlamak', 'type': 'Verb'}, {'input': 'ağlar', 'root': 'ağlamak', 'type': 'Verb'}, {'input': 'ağlar', 'root': 'ağ', 'type': 'Noun'}, {'input': 'ağlar', 'root': 'ağ', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'gezerim', 'root': 'gezmek', 'type': 'Verb'}, {'input': 'gezerim', 'root': 'Gezer', 'type': 'Noun'}, {'input': 'gezerim', 'root': 'Gezer', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Sinem üstü düğüm olsun, dağ olsun;","[{'input': 'Sinem', 'root': 'sine', 'type': 'Noun'}, {'input': 'Sinem', 'root': 'Sinem', 'type': 'Noun'}, {'input': 'üstü', 'root': 'üst', 'type': 'Noun'}, {'input': 'üstü', 'root': 'üst', 'type': 'Noun'}, {'input': 'üstü', 'root': 'üst', 'type': 'Adjective'}, {'input': 'üstü', 'root': 'üst', 'type': 'Adjective'}, {'input': 'üstü', 'root': 'üs', 'type': 'Noun'}, {'input': 'düğüm', 'root': 'düğü', 'type': 'Noun'}, {'input': 'düğüm', 'root': 'düğüm', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'dağ', 'root': 'dağ', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
Çevre yanı mor sümbüllü bağ olsun;,"[{'input': 'Çevre', 'root': 'çevre', 'type': 'Noun'}, {'input': 'yanı', 'root': 'yan', 'type': 'Noun'}, {'input': 'yanı', 'root': 'yan', 'type': 'Noun'}, {'input': 'mor', 'root': 'mor', 'type': 'Adjective'}, {'input': 'mor', 'root': 'mor', 'type': 'Noun'}, {'input': 'sümbüllü', 'root': 'sümbül', 'type': 'Noun'}, {'input': 'bağ', 'root': 'bağ', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
"Irak, yakın kömür gözlüm sağ olsun;","[{'input': 'Irak', 'root': 'ırak', 'type': 'Adjective'}, {'input': 'Irak', 'root': 'ırak', 'type': 'Noun'}, {'input': 'Irak', 'root': 'Irak', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'yakın', 'root': 'yakın', 'type': 'Adjective'}, {'input': 'yakın', 'root': 'yakın', 'type': 'Adverb'}, {'input': 'yakın', 'root': 'yakmak', 'type': 'Verb'}, {'input': 'yakın', 'root': 'yakınmak', 'type': 'Verb'}, {'input': 'yakın', 'root': 'yak', 'type': 'Noun'}, {'input': 'yakın', 'root': 'yak', 'type': 'Noun'}, {'input': 'yakın', 'root': 'yakı', 'type': 'Noun'}, {'input': 'yakın', 'root': 'yakın', 'type': 'Noun'}, {'input': 'kömür', 'root': 'kömür', 'type': 'Adjective'}, {'input': 'kömür', 'root': 'kömür', 'type': 'Noun'}, {'input': 'gözlüm', 'root': 'göz', 'type': 'Noun'}, {'input': 'sağ', 'root': 'sağ', 'type': 'Adjective'}, {'input': 'sağ', 'root': 'sağmak', 'type': 'Verb'}, {'input': 'sağ', 'root': 'sağ', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
"Hayalin gönlümde eğler, gezerim.","[{'input': 'Hayalin', 'root': 'hayal', 'type': 'Noun'}, {'input': 'Hayalin', 'root': 'hayal', 'type': 'Noun'}, {'input': 'Hayalin', 'root': 'Hayali', 'type': 'Noun'}, {'input': 'Hayalin', 'root': 'hayalî', 'type': 'Noun'}, {'input': 'Hayalin', 'root': 'hayalî', 'type': 'Adjective'}, {'input': 'gönlümde', 'root': 'gönül', 'type': 'Noun'}, {'input': 'gönlümde', 'root': 'gön', 'type': 'Noun'}, {'input': 'eğler', 'root': 'eğlemek', 'type': 'Verb'}, {'input': 'eğler', 'root': 'eğlemek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'gezerim', 'root': 'gezmek', 'type': 'Verb'}, {'input': 'gezerim', 'root': 'Gezer', 'type': 'Noun'}, {'input': 'gezerim', 'root': 'Gezer', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Benden selam olsun yedi benlime,","[{'input': 'Benden', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Benden', 'root': 'ben', 'type': 'Noun'}, {'input': 'Benden', 'root': 'Bende', 'type': 'Noun'}, {'input': 'selam', 'root': 'Sela', 'type': 'Noun'}, {'input': 'selam', 'root': 'sela', 'type': 'Noun'}, {'input': 'selam', 'root': 'selam', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}, {'input': 'yedi', 'root': 'yedi', 'type': 'Numeral'}, {'input': 'yedi', 'root': 'yemek', 'type': 'Verb'}, {'input': 'benlime', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benlime', 'root': 'ben', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"gam, kasavet bastı gönlüme.","[{'input': 'gam', 'root': 'gam', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kasavet', 'root': 'kasavet', 'type': 'Noun'}, {'input': 'bastı', 'root': 'basmak', 'type': 'Verb'}, {'input': 'bastı', 'root': 'bastı', 'type': 'Noun'}, {'input': 'bastı', 'root': 'bas', 'type': 'Noun'}, {'input': 'gönlüme', 'root': 'gönül', 'type': 'Noun'}, {'input': 'gönlüme', 'root': 'gön', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
